ours_model,baseline_model,metric,n_pairs,baseline_minus_ours_mean,baseline_minus_ours_median,bootstrap95_low,bootstrap95_high,paired_t_p,wilcoxon_p,direction_good_for_ours,paired_t_p_fdr,wilcoxon_p_fdr
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,rmse_norm,25,6.2235205776217664e-06,8.081956093974885e-06,4.019896376057379e-07,1.1891212566754184e-05,0.04574131054465762,0.06670159101486206,True,0.052394592078426,0.07640364061702382
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,crps_norm,25,9.495019912758584e-07,5.416572094005256e-06,-9.880349040037428e-06,1.1258974671359607e-05,0.8669874458657485,0.507703959941864,True,0.8669874458657485,0.571166954934597
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,uce,25,-3.172668891660013e-05,-1.778378058510388e-05,-0.00015546240439151657,7.521098555863655e-05,0.6025095514879495,0.936802864074707,False,0.6544500300644969,0.9519125876888153
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,ence,25,-0.0037364569304696007,7.584348653288941e-05,-0.027571368969480585,0.017358819614132194,0.7501413926028017,1.0,False,0.7854770191476171,1.0
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,ause_abs_error,25,9.59395062682021e-06,2.66814222368017e-05,-4.947877460074317e-05,6.974449280848113e-05,0.7605412407619785,0.6338268518447876,True,0.7854770191476171,0.7005454678284494
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,width90_norm,25,3.3475458621919087e-06,3.390014171600342e-06,-1.2086488306533254e-05,1.964598149059455e-05,0.6906071189220804,0.7914759516716003,True,0.7374279405439164,0.8451353382256072
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,mae_kpa,25,0.8423669624328614,0.9130406379699707,0.7726384863853455,0.9081869015693664,2.0469455908185285e-18,5.960464477539063e-08,True,6.043924879573673e-18,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,rmse_kpa,25,1.9391380039365262,1.994811577762654,1.7666729725839734,2.1130019377337304,4.3068848212169587e-17,5.960464477539063e-08,True,9.520482236374329e-17,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,mae_norm,25,0.03860575586557389,0.0404153391718865,0.03602020331472159,0.04106129398196936,2.0465401478739167e-20,5.960464477539063e-08,True,8.633148178192617e-20,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,rmse_norm,25,0.04472367881842284,0.048629906557400904,0.04102033831871635,0.048158047199950815,2.4837378763861414e-18,5.960464477539063e-08,True,6.97862926456037e-18,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,crps_norm,25,0.04363103896379471,0.0457669496536255,0.04103994973003864,0.04608265397697687,1.4371681966660167e-21,5.960464477539063e-08,True,6.966128781808903e-21,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,uce,25,0.07584513417205793,0.08086484480969999,0.07090734614687523,0.0806413210576618,1.9342668928524464e-20,5.960464477539063e-08,True,8.633148178192617e-20,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,ause_abs_error,25,0.07155487153386664,0.06877679983829489,0.06917656665796358,0.0741787155604251,8.710737961836926e-27,5.960464477539063e-08,True,9.146274859928772e-26,9.881822686446341e-08
residual_likelihood_guided_diffusion,srcnn_bz_single_channel,width90_norm,25,-0.028733492940664244,-0.0287835486233234,-0.029341325495392038,-0.02815202354639764,2.703770330008645e-32,5.960464477539063e-08,False,8.516876539527232e-31,9.881822686446341e-08
residual_likelihood_guided_diffusion,train_mean_prior,mae_kpa,25,1.1186648845672607,1.1790125370025635,1.041235425710678,1.1937268583774567,6.127024220778835e-20,5.960464477539063e-08,True,2.068180494138819e-19,9.881822686446341e-08
residual_likelihood_guided_diffusion,train_mean_prior,rmse_kpa,25,2.342328539010468,2.384054399015559,2.1340841753481525,2.541749301244306,1.5910889674584682e-17,5.960464477539063e-08,True,3.9309256843091565e-17,9.881822686446341e-08
residual_likelihood_guided_diffusion,train_mean_prior,mae_norm,25,0.06373517662286758,0.0661846622824669,0.06093285280466081,0.066394690990448,1.8316537830394125e-24,5.960464477539063e-08,True,1.1295809165843714e-23,9.881822686446341e-08
residual_likelihood_guided_diffusion,train_mean_prior,rmse_norm,25,0.060097729747465654,0.0632844694315064,0.05543615107631347,0.06440788996188448,6.474620427463476e-19,5.960464477539063e-08,True,2.0478526343756746e-18,9.881822686446341e-08
residual_likelihood_guided_diffusion,unet_canonical_bxyz,mae_kpa,25,-0.01750193595886225,-0.01662945747375444,-0.020947685480117745,-0.01394707393646235,1.0930355733388e-09,1.1920928955078125e-07,False,1.8121379242195895e-09,1.9256885235126202e-07
residual_likelihood_guided_diffusion,unet_canonical_bxyz,rmse_kpa,25,-0.03009640445592421,-0.027540282502110713,-0.0388060541335449,-0.021750202334805534,6.073740746749219e-07,8.344650268554688e-07,False,8.696492432845472e-07,1.2667782335396273e-06
residual_likelihood_guided_diffusion,unet_canonical_bxyz,mae_norm,25,-0.0023373049497604397,-0.002390891313552898,-0.0026033814474940367,-0.0020697402954101525,6.037008526856719e-15,5.960464477539063e-08,False,1.0866615348342094e-14,9.881822686446341e-08
