case_id,config_id,split_id,seed_id,depth_group,operator,method,source_label,true_zbottom_mm,true_ztop_mm,true_thickness_mm,posterior_mean_zbottom_mm,posterior_std_zbottom_mm,posterior_q025_mm,posterior_q05_mm,posterior_q10_mm,posterior_q25_mm,posterior_q50_mm,posterior_q75_mm,posterior_q90_mm,posterior_q95_mm,posterior_q975_mm,cov50,cov80,cov90,cov95,width50_mm,width80_mm,width90_mm,width95_mm,pit,crps_mm,wis90_mm,absolute_error_mm,squared_error_mm2,bias_mm,interval_iou,d_out_mm,failure_label_tau_0p5mm,failure_label_tau_1mm,failure_label_tau_2mm,forward_residual,calibration_scale
eval_000,shallow_0231,train,20260532,shallow,MMP,vanilla_3d_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.40560245513916,0.43976637721061707,1.6631385505199432,1.7092849731445312,1.8031078100204467,2.047240734100342,2.4070186614990234,2.713998317718506,2.9650964021682737,3.1211119174957274,3.226687914133072,False,False,True,True,0.6667575836181641,1.161988592147827,1.4118269443511962,1.5635493636131288,0.1015625,0.3877918193848906,2.0334117261826385,0.6201685754715793,0.384609062002448,0.6201685754715793,0.44237281641734977,0.0,True,False,False,0.0748062206517299,0.4
eval_000,shallow_0231,train,20260533,shallow,MMP,vanilla_3d_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.2098934650421143,0.46682241559028625,1.4945362865924836,1.5652116358280181,1.6353121995925903,1.8255017697811127,2.0957835912704468,2.6168289184570312,2.8408913612365723,2.9198869466781616,3.027587401866913,False,True,True,True,0.7913271486759186,1.205579161643982,1.3546753108501435,1.5330511152744295,0.21875,0.22237661390559615,1.6650250224530094,0.42445958537453343,0.18016593961632082,0.42445958537453343,0.5848770809178024,0.0,False,False,False,0.07058374458269044,0.4
eval_000,shallow_0231,train,20260531,shallow,MMP,eapp_only_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.205430746078491,0.44781628251075745,1.4959907710552216,1.5562084317207336,1.6358202695846558,1.829385370016098,2.1545441150665283,2.62296724319458,2.7974331617355346,2.8841583728790283,2.912454682588577,False,True,True,True,0.7935818731784821,1.1616128921508788,1.3279499411582947,1.4164639115333555,0.21875,0.22836005116428815,1.6970601765572422,0.4199968664109104,0.1763973677949841,0.4199968664109104,0.5764513049371863,0.0,False,False,False,0.06669861431750777,0.4
eval_000,shallow_0231,train,20260532,shallow,MMP,eapp_only_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.3535192012786865,0.4162777066230774,1.6427889108657836,1.7114334166049958,1.813399076461792,1.9847185015678406,2.3927258253097534,2.6886276602745056,2.8875221252441405,2.97507963180542,3.011736994981766,False,False,True,True,0.703909158706665,1.0741230487823485,1.2636462152004242,1.3689480841159822,0.1015625,0.3518841152200345,1.8709381608425968,0.5680853216111057,0.3227209326299934,0.5680853216111057,0.4766777670468481,0.0,True,False,False,0.07687047067881216,0.4
eval_000,shallow_0231,train,20260533,shallow,MMP,eapp_only_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.237522602081299,0.45182353258132935,1.496359196305275,1.5791986465454102,1.6725278973579407,1.8478199243545532,2.1543259620666504,2.659505307674408,2.844624590873718,2.915312445163727,2.941394364833832,False,True,True,True,0.8116853833198547,1.1720966935157773,1.3361137986183167,1.445035168528557,0.1953125,0.2534448592073615,1.7050058810173863,0.452088722413718,0.20438421293366776,0.452088722413718,0.5492621321573842,0.0,False,False,False,0.0667841822016649,0.4
eval_000,shallow_0231,train,20260531,shallow,MMP,dps_inverse_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.563571572303772,0.19014838337898254,1.1884620785713196,1.2553722739219666,1.3451151490211486,1.4319965839385986,1.5444029569625854,1.687038630247116,1.8185539484024047,1.886044454574585,1.9346523046493531,False,True,True,True,0.25504204630851746,0.4734387993812561,0.6306721806526183,0.7461902260780335,0.8828125,0.1420647565202318,0.8717031033576137,0.22186230736380885,0.04922288342879319,-0.22186230736380885,0.8270763377193979,0.0,False,False,False,0.05076631824529987,0.4
eval_000,shallow_0231,train,20260532,shallow,MMP,dps_inverse_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.062187671661377,0.21664287149906158,1.6836973488330842,1.7031829237937928,1.7782214999198913,1.903389573097229,2.065492272377014,2.213241934776306,2.361310362815857,2.398281168937683,2.477026861906052,False,True,True,True,0.30985236167907715,0.5830888628959656,0.6950982451438901,0.7933295130729676,0.1171875,0.1712439257651921,0.9751566378533234,0.2767537919937961,0.07659266138294538,0.2767537919937961,0.7028753840126504,0.0,False,False,False,0.05615115781601795,0.4
eval_000,shallow_0231,train,20260533,shallow,MMP,dps_inverse_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.0708742141723633,0.18805964291095734,1.731609258055687,1.7688424468040467,1.8442225575447082,1.9367169439792633,2.0713424682617188,2.203553795814514,2.291426348686218,2.360984909534454,2.4914534389972687,False,False,True,True,0.26683685183525085,0.4472037911415099,0.5921424627304075,0.7598441809415817,0.0703125,0.18762577845028772,0.8780510513245454,0.28544033450478246,0.0814761845622021,0.28544033450478246,0.6958123941498405,0.0,False,False,False,0.06045114059793205,0.4
eval_000,shallow_0231,train,20260531,shallow,MMP,op_conditioned_diffusion_ours,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.622939109802246,0.1887165755033493,1.288826933503151,1.3168418884277344,1.3943598866462708,1.5002114176750183,1.6123422980308533,1.7551634013652802,1.8865943908691405,1.9258125126361847,1.9669524013996125,False,True,True,True,0.25495198369026184,0.49223450422286974,0.6089706242084503,0.6781254678964614,0.78125,0.09807341446261753,0.7820622058451778,0.16249476986533473,0.026404550233588096,-0.16249476986533473,0.8764882783579492,0.0,False,False,False,0.05319478597260586,0.4
eval_000,shallow_0231,train,20260532,shallow,MMP,op_conditioned_diffusion_ours,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.824573278427124,0.184682697057724,1.4748325884342193,1.516892808675766,1.5988640069961548,1.7084815502166748,1.8211602568626404,1.9418042302131653,2.075998854637146,2.1312241077423097,2.1476679027080534,True,True,True,True,0.23332267999649048,0.47713484764099134,0.6143312990665437,0.6728353142738341,0.40625,0.0455998759712678,0.6500576762616033,0.0391393987595432,0.0015318925352585317,0.0391393987595432,0.9437300209288166,0.0,False,False,False,0.04638624674754676,0.4
eval_000,shallow_0231,train,20260533,shallow,MMP,op_conditioned_diffusion_ours,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.8925293684005737,0.1873706728219986,1.56561881005764,1.5831924259662629,1.6415070056915284,1.756005048751831,1.8828037977218628,2.03052818775177,2.1546737909317017,2.2177360177040097,2.2317869782447817,True,True,True,True,0.27452313899993896,0.5131667852401733,0.6345435917377469,0.6661681681871416,0.3046875,0.06650127990518204,0.7319135097920288,0.1070954887329929,0.01146944370695861,0.1070954887329929,0.8638238472230144,0.0,False,False,False,0.05199980550735902,0.4
eval_000,shallow_0231,train,20260531,shallow,PIEZO,direct_scalar_regression,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,3.5338973999023438,0.5305758118629456,2.501878696680069,2.703586530685425,2.887737679481506,3.120220720767975,3.606836438179016,3.932893216609955,4.181707763671875,4.254396224021911,4.415384507179261,False,False,False,False,0.81267249584198,1.2939700841903692,1.550809693336486,1.913505810499192,0.0,1.4490642062376353,21.735265272204806,1.748463520234763,3.057124681591739,1.748463520234763,0.0,0.0,True,True,False,0.1670735411578113,0.8500000000000001
