figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6698852674382296,0.9307517252078271,0.5081402310961486,0.822720258136925,2.615962981521345,0.9588478085047406
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.073300730355726,1.2247904080004575,0.7073793122784757,0.791442541950672,1.9522983642215683,0.969279688619634
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,100,300,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5853566695676891,0.61869530102156,0.3559571130807555,0.8816498316498317,1.7872537031850586,0.5816361082754525
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,100,300,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5849313463252418,0.9007251835002291,0.42002756220104703,0.9431448632668146,2.2279755934764953,0.965120411995412
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,100,300,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5460683214773124,0.5847759466032834,0.34600879629433573,0.8370159932659934,1.8224729139707674,0.7653517551058536
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.49982379460877013,0.5257542666316775,0.31177272824384866,0.8528212340204209,1.136734450414107,0.9238788238788238
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.4981206501800597,0.643685935731471,0.36468603040054454,0.8353254769921434,1.9209954893151078,0.9959051424269704
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.9022960587197724,0.9822350132312098,0.5917206802001155,0.7006287468177712,1.4806155438023696,0.9635620779746464
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5426423362091694,0.5899040600642281,0.3355273715779986,0.9143167789001123,1.8737536658872025,0.4990942028985508
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.7659560532258304,1.1620636503702402,0.5576574748007955,0.8133879444855054,2.128032345053798,0.9413277046439732
Figure 3,3D,US,ultrasound,eapp_only_diffusion,Eapp-only diffusion,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.7217510973692683,0.7853682425045753,0.46527087340769113,0.938874859708193,2.8111506175768577,0.7431768527732977
Figure 3,3D,MMP,soft MMP,op_conditioned_diffusion_ours,operator-conditioned diffusion,100,300,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.2205123799514557,0.27669602136220184,0.13706848415775447,0.9269517669924175,0.883554775807092,1.0
