r_mm,MMP,PIEZO,US
1.9622641509433962,0.2851094055856566,0.0010644480883726405,0.4979602341557674
2.0,0.28567401025634453,0.0008159878350721483,0.48465904155548484
2.0377358490566038,0.28564486556474067,0.0006223633498389376,0.4714699390615314
2.0754716981132075,0.2848506959688129,0.0004722864249736492,0.4584032912022533
2.1132075471698113,0.28314379470717504,0.00035658908322143624,0.44546899110875304
2.150943396226415,0.28040424322386803,0.0002678747332327784,0.43267645346136013
2.188679245283019,0.27654322326989855,0.00020021498886832294,0.42003460884911137
2.2264150943396226,0.27150527233202043,0.0001488889786250247,0.40755189951957826
2.2641509433962264,0.265269381805388,0.00011016144947257009,0.39523627649208
2.30188679245283,0.2578488923320756,8.109570620465608e-05,0.3830951980032515
2.339622641509434,0.24929019858436371,5.939736870259119e-05,0.3711356292501191
2.3773584905660377,0.23967033287336928,4.3285025716135814e-05,0.3593640433922647
2.4150943396226414,0.22909354975921278,3.138407125248741e-05,0.34778642377136254
2.452830188679245,0.2176870791036124,2.26402912773558e-05,0.3364082673033348
2.490566037735849,0.2055962500815363,1.6250093581355947e-05,0.3252345889956216
2.5283018867924527,0.19297921165448845,1.1604618036748052e-05,0.31426992753958205
2.5660377358490565,0.18000148488449502,8.24530949448272e-06,0.30351835192585286
2.6037735849056602,0.1668305791445668,5.828867739462151e-06,0.2929834690285774
2.641509433962264,0.1536308885679343,4.099799024246976e-06,0.2826684321027941
2.6792452830188678,0.1405590585827899,2.869076062477464e-06,0.27257595013792574
2.7169811320754715,0.12775997734703634,1.997665107053674e-06,0.26270829800924184
2.7547169811320753,0.11536350600764227,1.3838991206444046e-06,0.25306732736836757
2.792452830188679,0.10348201784825711,9.538658715414657e-07,0.2436544782133873
2.830188679245283,0.0922087724238626,6.541409163802786e-07,0.23447079107881474
2.8679245283018866,0.08161710935159926,4.463303785539884e-07,0.2255169197856875
2.9056603773584904,0.07176040977042847,3.0300005474591154e-07,0.21679314469226443
2.943396226415094,0.0626727433095164,2.0465864494599552e-07,0.20829938638626153
2.981132075471698,0.054370095826814555,1.3753670297638383e-07,0.20003521976023947
3.0188679245283017,0.04685205868816634,9.196196695888894e-08,0.19199988841264365
3.0566037735849054,0.04010385386114334,6.117852778842797e-08,0.18419231931808439
3.094339622641509,0.03409856999406348,4.049402246799678e-08,0.1766111377117148
3.132075471698113,0.02879949193191054,2.6667600762606866e-08,0.16925468213401024
3.1698113207547167,0.02416241849900369,1.7473427306176712e-08,0.16212101958385328
3.2075471698113205,0.020137879413682905,1.1391302318903778e-08,0.15520796072957765
3.2452830188679243,0.01667318042525689,7.3887298150048635e-09,0.14851307512950412
3.283018867924528,0.013714224789874161,4.768341173346984e-09,0.14203370641549698
3.320754716981132,0.011207077806774147,3.0617236199413947e-09,0.13576698739517076
3.3584905660377355,0.009099258321167446,1.9559861501286642e-09,0.12970985503056565
3.3962264150943393,0.007340756123870403,1.243273547882282e-09,0.1238590652533759
3.433962264150943,0.005884786565108354,7.862646301014777e-10,0.11821120757914316
3.471698113207547,0.004688303226494881,4.947341767754559e-10,0.1127627194852015
3.5094339622641506,0.0037122961583242,3.097249660146277e-10,0.10750990051957532
3.5471698113207544,0.0029219071662472287,1.9292194980995605e-10,0.10244892611046467
3.584905660377358,0.0022863952324934777,1.1956063108883442e-10,0.0975758610484013
3.6226415094339623,0.0017789847777852949,7.372179186139658e-11,0.09288667261560395
3.660377358490566,0.0013766275476241633,4.5227719898305256e-11,0.08837724333949716
3.69811320754717,0.0010597058799925137,2.7606708705382473e-11,0.08404338334977104
3.7358490566037736,0.0008117013922618429,1.6765854747045198e-11,0.07988084232074127
3.7735849056603774,0.0006188490753565431,1.013066357653984e-11,0.07588532098310811
3.811320754716981,0.00046979270248274723,6.090475703388276e-12,0.07205248219150563
3.849056603773585,0.00035525357923779454,3.643054465795271e-12,0.06837796153646374
3.8867924528301887,0.00026772114536276757,2.1681096431374777e-12,0.0648573774915761
