operator,method,model_name,depth_group,n_eval_records,mean_d_out_mm,beta_extrap,beta_extrap_stderr,range_ratio,spearman_rho,pred_vs_true_slope,pred_vs_true_slope_stderr,true_zbottom_range_mm,pred_zbottom_range_mm,mean_absolute_error_mm,toward_mean_collapse_flag
MMP,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,deep,126,0.0,,,1.3645992820844839,0.8961628411394019,0.8932183534128505,0.04304210625530736,3.857787609100342,5.264334201812744,0.5750485374813988,False
MMP,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,mid,135,0.0,,,1.3462557437802878,0.9118917160844239,1.0204533167166716,0.03668485838987349,3.909421443939209,5.263081073760986,0.5225774712032742,False
MMP,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,ood_deep,135,2.112370139360428,0.028130344708439857,0.018061065076942752,1.0453089959269013,0.9129455031570197,0.7212537945658424,0.03081850102922523,3.751152992248535,3.921113967895508,0.5473150253295899,False
MMP,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,shallow,162,0.05903715032359792,-0.3194394329853256,0.10792083966900684,1.5028881195665782,0.6890210157512714,0.8255244445074132,0.06770382903913745,1.873113989830017,2.815080761909485,0.47358620865845386,False
PIEZO,direct_scalar_regression,D1_operator_only_scalar,deep,126,0.0,,,1.4196288005228934,0.9464972352058691,0.7903471254708915,0.03296316368426946,3.857787609100342,5.476626396179199,0.4784625409141419,False
PIEZO,direct_scalar_regression,D1_operator_only_scalar,mid,135,0.0,,,1.2927598698859117,0.8338968367807744,0.6582863065150015,0.04589555417611977,3.909421443939209,5.053943157196045,0.8800501346588134,False
PIEZO,direct_scalar_regression,D1_operator_only_scalar,ood_deep,135,2.112370139360428,0.3942195651613143,0.02645190409071283,0.945928286921466,0.8842590772919132,0.605172313395449,0.026507029894429122,3.751152992248535,3.5483217239379883,1.1524471212316443,False
PIEZO,direct_scalar_regression,D1_operator_only_scalar,shallow,162,0.05903715032359792,0.8927848962360737,0.23543128256653592,1.2880255287100297,0.796274426892042,0.6658883318423235,0.047598803403259164,1.873113989830017,2.412618637084961,1.6095143961317746,False
PIEZO,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,deep,126,0.0,,,1.2395126203792732,0.9707643178959973,1.0118462261594527,0.019319702792642873,3.857787609100342,4.781776428222656,0.2100414964887831,False
PIEZO,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,mid,135,0.0,,,1.207360637743941,0.9420563710374776,1.0127863209747032,0.03249624261732896,3.909421443939209,4.720081567764282,0.431973374331439,False
PIEZO,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,ood_deep,135,2.112370139360428,0.22311111281023255,0.03456616514989249,1.1040126161567856,0.779699982199912,0.7822683751826517,0.058862832123871174,3.751152992248535,4.14132022857666,0.7352790761876989,False
PIEZO,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,shallow,162,0.05903715032359792,-0.26524128048833695,0.05703618686323887,1.4515077784578312,0.8451753425527186,0.99562761694826,0.05138436794851466,1.873113989830017,2.7188395261764526,0.3635969036891137,False
PIEZO,eapp_only_diffusion,D1_eapp_only_diffusion,deep,126,0.0,,,1.6680595577431778,0.8404637655880254,1.0071242405910292,0.06377537166380341,3.857787609100342,6.435019493103027,0.8086328128027538,False
PIEZO,eapp_only_diffusion,D1_eapp_only_diffusion,mid,135,0.0,,,1.2266850973410137,0.9741822408200842,1.0348355931426074,0.017925437886094832,3.909421443939209,4.795629024505615,0.21998084562796133,False
PIEZO,eapp_only_diffusion,D1_eapp_only_diffusion,ood_deep,135,2.112370139360428,0.21201529194498564,0.07628547787395662,1.3577340442760393,0.3305817862322267,0.39729365306036035,0.12707087097968964,3.751152992248535,5.0930681228637695,1.7053822905929,True
PIEZO,eapp_only_diffusion,D1_eapp_only_diffusion,shallow,162,0.05903715032359792,-0.004785419568666859,0.08671679078839024,1.1975317096187514,0.8930345518354489,0.8709032310504031,0.034131977872601936,1.873113989830017,2.243113398551941,0.21934425389325177,False
PIEZO,kernel_gp,D5_depth_aware_kernel_gp,deep,126,0.0,,,1.2816224529740121,0.9396743684851284,0.9682747421921092,0.03316302774135984,3.857787609100342,4.94422721862793,0.3764705998556955,False
PIEZO,kernel_gp,D5_depth_aware_kernel_gp,mid,135,0.0,,,1.2380638595300617,0.9172191951736582,1.0378266314627393,0.03898094621059826,3.909421443939209,4.840113401412964,0.4801912784576416,False
PIEZO,kernel_gp,D5_depth_aware_kernel_gp,ood_deep,135,2.112370139360428,0.21254012764010916,0.04784611315779693,1.1989843820907726,0.5485254431492183,0.6579581307287331,0.09024845369924359,3.751152992248535,4.4975738525390625,1.17566589779324,False
PIEZO,kernel_gp,D5_depth_aware_kernel_gp,shallow,162,0.05903715032359792,-0.37545118075485473,0.08692584845916647,1.56912728390749,0.7880339366014568,0.9931956225089849,0.06253492018878433,1.873113989830017,2.939154267311096,0.43132726682557,False
PIEZO,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,deep,126,0.0,,,1.389016221390204,0.9147051966073781,1.0336139150776982,0.04056517276475616,3.857787609100342,5.358529567718506,0.526905926447066,False
PIEZO,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,mid,135,0.0,,,1.4192027444514956,0.9596048529825095,1.0152708842005234,0.027717381162721755,3.909421443939209,5.548261642456055,0.37175769452695495,False
PIEZO,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,ood_deep,135,2.112370139360428,0.0688704103593689,0.017880354030754223,1.1042322751819116,0.9498134147663073,0.7931489011162915,0.025076959651422665,3.751152992248535,4.142144203186035,0.4686874884146231,False
PIEZO,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,shallow,162,0.05903715032359792,-0.07029008638901958,0.057212994339669844,1.3360281181880858,0.9435869532172602,1.026964337874391,0.028502708634578173,1.873113989830017,2.502532958984375,0.18700249253967663,False
PIEZO,unet_3d,D1_operator_only_3d_unet,deep,126,0.0,,,2.3872570922925993,0.4263751631857086,0.9203553145410578,0.17874306491403824,3.857787609100342,9.2095308303833,2.357229573386056,False
PIEZO,unet_3d,D1_operator_only_3d_unet,mid,135,0.0,,,1.9394288767749719,0.7193121285675497,1.283662440414851,0.09549082932442116,3.909421443939209,7.582044839859009,1.4090304869192618,False
PIEZO,unet_3d,D1_operator_only_3d_unet,ood_deep,135,2.112370139360428,-0.02527589583597978,0.11543889265065305,1.932420528051144,0.2980518550139713,0.29510342081650215,0.20976995611193602,3.751152992248535,7.248805046081543,2.847858686800356,True
PIEZO,unet_3d,D1_operator_only_3d_unet,shallow,162,0.05903715032359792,-0.1470014162564531,0.17536394737672617,2.4094845862795213,0.5990548460662644,1.092287964872111,0.11157084706050743,1.873113989830017,4.513239286839962,0.7645274901555644,False
PIEZO,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,deep,126,0.0,,,1.4747350769130745,0.8743260671756594,0.9344760951624295,0.050187153029845444,3.857787609100342,5.689214706420898,0.6080938407352993,False
PIEZO,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,mid,135,0.0,,,1.1889987755302671,0.9790706419624033,0.9976034759958168,0.014998311134802976,3.909421443939209,4.648297309875488,0.18072310906869393,False
PIEZO,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,ood_deep,135,2.112370139360428,0.153340592705385,0.06619139662277854,1.2687159531688992,0.48876693457410064,0.6276014692521632,0.10251298537945719,3.751152992248535,4.759147644042969,1.375574232030798,False
PIEZO,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,shallow,162,0.05903715032359792,-0.020593658089679126,0.09622906654301214,1.2590396732756866,0.8417199262746522,0.8903848608828191,0.045038618655768484,1.873113989830017,2.3583248257637024,0.29819955538820336,False
US,direct_scalar_regression,D1_operator_only_scalar,deep,126,0.0,,,1.1110199327175145,0.9357318676623257,0.7141201511844355,0.031247882710452785,3.857787609100342,4.286078929901123,0.8031202005961585,False
US,direct_scalar_regression,D1_operator_only_scalar,mid,135,0.0,,,0.8746219347548762,0.949769506971616,0.645290346213938,0.017333368082658663,3.909421443939209,3.4192657470703125,0.624991242090861,False
US,direct_scalar_regression,D1_operator_only_scalar,ood_deep,135,2.112370139360428,0.34068137959942185,0.03139128074692769,1.1199818781304272,0.8882839584719664,0.6593186268879958,0.03139127803551042,3.751152992248535,4.201223373413086,2.3219367415816694,False
US,direct_scalar_regression,D1_operator_only_scalar,shallow,162,0.05903715032359792,0.9974549277432229,0.23513634945045805,1.3581270171825948,0.7731536267961557,0.6435706364345364,0.04715057235669863,1.873113989830017,2.54392671585083,1.6017764534479306,False
US,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,deep,126,0.0,,,1.2328061261003365,0.9255605755852321,0.9880166048044554,0.03487137269706699,3.857787609100342,4.755904197692871,0.4659913456629193,False
US,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,mid,135,0.0,,,1.3098013319508295,0.9496816913822329,1.0003124415150977,0.02567333088249793,3.909421443939209,5.120565414428711,0.3618349304905644,False
US,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,ood_deep,135,2.112370139360428,0.04864787511319999,0.019175265043003792,1.1183997738325593,0.8290377075015828,0.8844219602116836,0.049509240715825006,3.751152992248535,4.19528865814209,0.6643869188096788,False
US,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,shallow,162,0.05903715032359792,-0.02297108756114276,0.07153857788987256,1.4167590169529731,0.882329536699478,0.9813228017165454,0.03910588945142746,1.873113989830017,2.6537511348724365,0.2630276525462115,False
US,eapp_only_diffusion,D1_eapp_only_diffusion,deep,126,0.0,,,1.1245314334936845,0.9462272009029377,0.9728772413566777,0.02800596958366843,3.857787609100342,4.338203430175781,0.34222043128240676,False
US,eapp_only_diffusion,D1_eapp_only_diffusion,mid,135,0.0,,,1.3545169809033217,0.93977316571352,1.0373779124681606,0.030281392208816843,3.909421443939209,5.295377731323242,0.42632171666180646,False
US,eapp_only_diffusion,D1_eapp_only_diffusion,ood_deep,135,2.112370139360428,0.0983964514043017,0.01985222258559761,1.0162720558381377,0.9371826058267222,0.800650863351899,0.02226166846057007,3.751152992248535,3.812191963195801,0.3622183905707465,False
US,eapp_only_diffusion,D1_eapp_only_diffusion,shallow,162,0.05903715032359792,-0.4094412910190058,0.09587541239336583,1.4887771570461035,0.7255654305548426,0.8792189086702666,0.06571924125738007,1.873113989830017,2.788649320602417,0.4559766837844142,False
US,kernel_gp,D5_depth_aware_kernel_gp,deep,126,0.0,,,1.321620391262844,0.9186837020039051,1.0135684335333548,0.04219336726670045,3.857787609100342,5.0985307693481445,0.5637995591239323,False
US,kernel_gp,D5_depth_aware_kernel_gp,mid,135,0.0,,,1.2112716470063185,0.9320161219846903,1.0166141462507254,0.029905119713525507,3.909421443939209,4.735371351242065,0.4352619453712746,False
US,kernel_gp,D5_depth_aware_kernel_gp,ood_deep,135,2.112370139360428,0.06462228711335888,0.020829075276855763,1.213520267231475,0.7533260335218905,0.745187820186824,0.060212016080558976,3.751152992248535,4.55210018157959,0.8921813682273582,False
US,kernel_gp,D5_depth_aware_kernel_gp,shallow,162,0.05903715032359792,-0.06407309882095946,0.06265346182809273,1.5892085309453383,0.8984548126637885,1.0825016051724827,0.04378438775787539,1.873113989830017,2.976768732070923,0.3065180833692904,False
US,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,deep,126,0.0,,,1.232209367016354,0.9746888164319377,1.014933581452831,0.018250821415019658,3.857787609100342,4.753602027893066,0.22348761180090526,False
US,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,mid,135,0.0,,,1.117933974747797,0.9835931448156268,1.0060199496414657,0.012395220066531962,3.909421443939209,4.3704750537872314,0.16367128160264757,False
US,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,ood_deep,135,2.112370139360428,0.03896297567394175,0.012027958455659769,1.0085097533437621,0.9252543216022008,0.9123676276150543,0.02433310811221077,3.751152992248535,3.783074378967285,0.3204379540902597,False
US,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,shallow,162,0.05903715032359792,0.017831212644320638,0.06777808853148788,1.2288786627020907,0.9466781957209227,0.9625274729174,0.02392997737047455,1.873113989830017,2.3018298149108887,0.13759346140755546,False
US,unet_3d,D1_operator_only_3d_unet,deep,126,0.0,,,1.409036203178422,0.8399597015558862,0.957800240162156,0.055384748112870856,3.857787609100342,5.435762405395508,0.7390468347640264,False
US,unet_3d,D1_operator_only_3d_unet,mid,135,0.0,,,1.2991522629759458,0.9225613101944561,0.9769680694830967,0.038799944849219815,3.909421443939209,5.0789337158203125,0.5628396422774703,False
US,unet_3d,D1_operator_only_3d_unet,ood_deep,135,2.112370139360428,0.015185751897700914,0.026414290650009716,1.29041541741952,0.6869710130306679,0.8622999402388142,0.08405469067263978,3.751152992248535,4.840545654296875,1.1386704550849067,False
US,unet_3d,D1_operator_only_3d_unet,shallow,162,0.05903715032359792,-0.09838147556832595,0.09124601095940313,1.5387574311140477,0.8145932146603211,0.9521350179287262,0.05399990766728463,1.873113989830017,2.8822680711746216,0.3659845848142365,False
US,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,deep,126,0.0,,,1.3404009978780937,0.9293050512525515,0.9439167458007411,0.037517381805656363,3.857787609100342,5.170982360839844,0.48082414884415886,False
US,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,mid,135,0.0,,,1.3580078600735657,0.9064910573373707,0.946266727261838,0.03540030455347175,3.909421443939209,5.309025049209595,0.5073813720985695,False
US,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,ood_deep,135,2.112370139360428,0.06547094178077274,0.017396680803769486,1.0145005464780954,0.9431833377678925,0.7687327648173183,0.023838065692316408,3.751152992248535,3.805546760559082,0.43405159137867116,False
US,vanilla_3d_diffusion,D0_D1_vanilla_3d_diffusion,shallow,162,0.05903715032359792,-0.43466433904373725,0.08967640269849184,1.454963619195257,0.6758938215576363,0.8428157470612413,0.06951054823697281,1.873113989830017,2.7253127098083496,0.49151705886110847,False
