figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.462981920262001,9.902048879378702,0.3902305185278078,4.661867054009647,0.9328125,20.79099857060411
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,9.35074927872675,14.185311633313287,0.4477646429571118,7.087729753343321,0.8276909722222222,29.75332015667588
Figure 2,2D,US,ultrasound,U-Net,U-Net,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,13.543077505206595,25.28959542087902,0.4775407581387519,10.694706384519902,0.8244791666666667,37.171023882875176
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,48,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.660095751801837,30.73447616580148,0.4551623971020441,20.1700551807963,0.9998263888888889,200.9393751971131
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,48,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,58.37433821829113,65.00102331433143,0.19353194926887932,37.92696242367778,0.8834201388888889,200.9393751971131
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,48,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,60.540140260998044,67.92269140445046,0.17057274485289334,39.70103538583133,0.8623263888888889,200.9393751971131
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.868403622499354,10.537599865009417,-0.41277157569772843,4.720748710967784,0.9256076388888889,20.547342750252753
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,8.524510027032663,12.846234112616033,0.4595855219638132,6.3443421302881156,0.8318576388888889,28.300692865337716
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,13.78559142748934,27.66215337357676,0.47647742172358265,11.01640120500257,0.8191840277777778,34.86526170611632
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.526798717178896,29.161029274848385,0.773692052535359,6.746542818109336,0.9428819444444444,32.90238570155137
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.950687074688604,12.781386294178732,0.6739055189801664,6.54663032233752,0.8188368055555556,32.90238570155137
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,8.183704862446747,13.409911310436947,0.6625945670874869,6.810146881012004,0.8099826388888889,32.90238570155137
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.191387795190968,6.334262837914063,0.38356157485876596,2.951383228739001,0.9391493055555555,16.214749100070815
