figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.780757556237523,10.98879997590638,0.579300734864401,5.752401717562604,0.8922743055555555,33.39425486466456
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,9.177117203743931,12.50563253521717,0.6066169436645171,6.8954635281698575,0.9230902777777777,45.84537476399479
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.632052243483487,10.673892343161333,0.6731151831052039,3.587680365234917,0.8801215277777777,12.599218584974574
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.5877796636998935,13.92912363488966,0.6548083019975497,5.949383336496544,0.82890625,22.360429272778816
Figure 2,2D,US,ultrasound,U-Net,U-Net,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,11.705362973391296,20.1331298976173,0.5903496683261529,9.389354268828672,0.7974826388888889,33.0038399931755
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,96,288,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,8.779630345840687,35.48586780133653,0.4383131671564039,22.00461303397195,0.9999131944444445,200.5383885470352
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,96,288,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,61.69037722499003,65.65010420762259,0.22916454122890795,39.12773391363329,0.9223958333333333,200.5383885470352
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,96,288,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,63.944668730801915,68.34334152514005,0.2090767640857133,40.88648059017097,0.9045138888888888,200.5383885470352
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.982618925358671,11.308985994453332,-0.14093307843968972,3.679327113921896,0.88125,12.36942230679769
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.205692438490996,13.617465158855131,0.6337605166339569,5.690362226360465,0.8250868055555556,19.992791313785816
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,11.283559832498275,20.891048228019077,0.6154549415148283,9.085876997832356,0.7997395833333333,29.848476130230814
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.886791690807018,48.13340851310524,0.7901513821603754,9.310650341679189,0.9303819444444444,33.97768236620926
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,8.782302696337736,13.51339347360023,0.6643327063065764,7.060094690155404,0.80078125,33.97768236620926
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,8.960621055104221,14.341266769664488,0.6790531033513837,7.352047628756984,0.78828125,33.97768236620926
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.6405658165219053,4.192057850544447,0.5287320255067008,1.952761557569025,0.9454861111111111,12.434309026389059
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,6.5881841985048535,8.911400179813809,0.7117207381439778,4.8927943857481,0.9180555555555555,31.557603131457192
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,8.855040234916709,11.964562395945816,0.6630686264955735,6.730402262208498,0.9348090277777777,46.79049880036615
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.380287852428242,3.5286928551774346,0.8322934273246769,1.7555875619568992,0.9141493055555555,8.73291017710259
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,4.654047413444445,7.062743584241729,0.7909346513027954,3.564121305794376,0.8848090277777778,19.925805235183397
Figure 2,2D,US,ultrasound,U-Net,U-Net,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.431679642721182,11.344839399611901,0.7508821144338895,5.871775317819386,0.8592013888888889,31.114943908465087
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,144,432,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.44791435629354,29.9152581856377,0.44862974266479966,19.585382487180222,1.0,194.685982418578
