operator,method,n_cases,n_seeds,mae_zbottom_mm,mae_zbottom_mm_seed_sd,rmse_zbottom_mm,rmse_zbottom_mm_seed_sd,bias_zbottom_mm,bias_zbottom_mm_seed_sd,p90ae_zbottom_mm,p90ae_zbottom_mm_seed_sd,crps_zbottom_mm,crps_zbottom_mm_seed_sd,wis90_zbottom_mm,wis90_zbottom_mm_seed_sd,cov50_zbottom,cov50_zbottom_seed_sd,cov80_zbottom,cov80_zbottom_seed_sd,cov90_zbottom,cov90_zbottom_seed_sd,cov95_zbottom,cov95_zbottom_seed_sd,width50_zbottom_mm,width50_zbottom_mm_seed_sd,width80_zbottom_mm,width80_zbottom_mm_seed_sd,width90_zbottom_mm,width90_zbottom_mm_seed_sd,width95_zbottom_mm,width95_zbottom_mm_seed_sd,interval_iou_mean,interval_iou_mean_seed_sd,auroc_fail_tau_1mm,auroc_fail_tau_1mm_seed_sd,auprc_fail_tau_1mm,auprc_fail_tau_1mm_seed_sd,uce,uce_seed_sd,ence,ence_seed_sd,error_vs_dout_slope,error_vs_dout_slope_seed_sd,uncertainty_vs_dout_slope,uncertainty_vs_dout_slope_seed_sd,range_compression_ratio,range_compression_ratio_seed_sd,spearman_depth_rank,spearman_depth_rank_seed_sd,mean_forward_residual,mean_forward_residual_seed_sd,mae_zbottom_mm_boot95_lo,mae_zbottom_mm_boot95_hi
PIEZO,vanilla_3d_diffusion,181,3,0.6173157425889539,0.006322787873686234,0.9474897483730277,0.02338383734293583,-0.22522222382178766,0.029086083194750135,0.6183969518633249,0.005779062042879075,0.44502855791250395,0.008382419504801552,4.790628576219496,0.08622597301061465,0.5930353672223591,0.013308721579180605,0.8510614272809395,0.013323802296527656,0.8939024390243903,0.004331806873481259,0.9035230352303523,0.010350269620525758,1.0369449784331521,0.006202442154672053,1.828453052003259,0.0066089772714660495,2.243579651948418,0.0025362061311555357,2.558873646592355,0.008316898198566298,0.6670576935000291,0.003936745406731054,0.9651204119954121,0.010141876007397937,0.8727718852928578,0.0176201087651417,0.31428366994133494,0.013398053677315626,0.40998586786626595,0.019628099201304608,0.39851765740638045,0.014397311102073472,0.09449260217863326,0.004113435678714035,0.9314817224191749,0.0016614056017094081,0.9813559980542902,0.002876227545123676,0.10799294587458859,7.554605364779305e-05,0.5112526678946225,0.6863205128589853
PIEZO,eapp_only_diffusion,181,3,0.7330512388420836,0.04951499035297443,1.1218618690222832,0.08325905981511247,-0.2184154940930241,0.10615943119058179,0.7341324865911866,0.04939332028947278,0.5366389352833738,0.037244844127860846,5.3213389338395105,0.5546563871711793,0.5280087459965509,0.008825350152201487,0.7779810298102982,0.01727744120844608,0.8664182475158085,0.016900984059631,0.9035230352303523,0.018205990835314816,1.027916444695872,0.03270065173573847,1.816697439001176,0.04796698900345112,2.213355016222798,0.04861239982165513,2.5019126519448704,0.046062666125898745,0.6307305451557185,0.012026418447280276,0.9413277046439731,0.026490712762964986,0.8635067996947215,0.04632726959248106,0.33969288420181437,0.05036692326601537,0.41563050105967364,0.052104910627259006,0.488067112367248,0.08960372298802742,0.09366982607618358,0.02326348214257512,0.9471519968832336,0.022416162031272054,0.9756786284300515,0.0017929165909155212,0.11397391082751211,0.0025480115315948443,0.609125165622982,0.8264313987729647
PIEZO,dps_inverse_diffusion,181,3,0.4328223523067227,0.018446660965640734,0.5972007406751662,0.02761249757743466,-0.1245754235496725,0.01507916337975722,0.43432544175193977,0.019127619256859334,0.33311344890169897,0.011986886333324441,3.2070830604877014,0.1458488205608501,0.5514817894391065,0.00962155039353755,0.7516764870931537,0.0196714228188545,0.899719416386083,0.011676509932900538,0.9317059483726151,0.009183017743313869,1.0418469822493184,0.01568553676517021,1.8015255233468226,0.018157463881489665,2.1920105308250912,0.026382421549183688,2.4903495420665807,0.021671553150657677,0.7348422700060789,0.007664735515597176,0.9959051424269703,0.0011517809571362115,0.873496872648129,0.017007493760742943,0.33965863068037,0.008160471056488964,0.4544095159899047,0.010680952371887074,0.21337213943771985,0.030746096154256896,0.12739139506208574,0.009404419806945365,0.9634802736716322,0.005348877262186741,0.9899730677719293,0.0005828400597175752,0.09881832470826646,0.0008415901324136423,0.3901478362837783,0.48278326823976114
PIEZO,op_conditioned_diffusion_ours,181,3,0.6124657447371916,0.005714584900681623,0.722133183610084,0.005627473488555901,-0.13771024857222416,0.03761922353191898,0.6142995263799222,0.006055038507478423,0.33311408026183403,0.004174084418847011,2.7913487647432973,0.045290833322412204,0.44861128219868057,0.011764754013736457,0.8386651063480332,0.008367749623797546,0.9058306643672497,0.010247825497704822,0.9291122608195779,0.007179900802998589,1.2897258822041995,0.009778509938727302,1.8241895499585101,0.006977017291048331,2.077893880213601,0.011723851101212225,2.2793661368555562,0.015370552824920255,0.6418650786591994,0.0017211841544796224,0.8123646967720154,0.016384933770999557,0.3631568997770063,0.020681254619906275,0.09379066021649274,0.008240882826088597,0.18202580487585462,0.007545288369197155,0.06864750590008113,0.0047260998188385596,0.06353405373399791,0.009385665469008101,0.9717628123771629,0.003394470879560934,0.9904051023595616,0.00045497638985982097,0.10733033026215837,0.0001066728233624862,0.5302429865081477,0.6373634795908661
US,direct_scalar_regression,181,3,1.3555067373546947,0.0027435685289048124,1.5983534089113867,0.016456770908977267,-0.2551312494933263,0.006601993258134642,1.3589859080147404,0.0033634889606181883,0.9287551073550316,0.005620592311553909,7.665402857810577,0.08140400918597102,0.3050298034546002,0.0033719994945193947,0.6368745038460486,0.01268979411200457,0.7833894500561168,0.007826195772299793,0.8333333333333334,0.0075601535271085625,1.7826927175271334,0.007544508654210582,3.3134524080702565,0.025059000336328154,4.154627334590187,0.0354074413710834,4.81531970520377,0.04362816825543029,0.37491505654110213,0.0033091119063460633,0.47988100757357816,0.0006120408907483924,0.7222784826080243,0.01072749128701264,0.46411020380413276,0.023275187595859014,0.4908371885376446,0.015648631372025965,0.5650937804730475,0.031570993228872225,0.3536717596248979,0.009188610605686381,0.6467426396302721,0.0028893688561369207,0.9883879048964438,0.0006057029630197323,0.12103248371830423,0.000401320793120389,1.264440750974488,1.489651582893388
US,unet_3d,181,3,0.7111611159970909,0.008849221984825734,0.7891140778890273,0.012483987516668123,-0.05972735749969565,0.08162871812887626,0.7130323350132343,0.008975721086713481,0.6653692017337053,0.007412189347260324,12.589742774569359,0.10436659985210395,0.06457939831923572,0.002299159727715836,0.06955975746626153,0.00611079934358745,0.07264617721934795,0.0026189140043946244,0.07573259697243435,0.004163807889886433,0.171232842041929,0.0029082050919927533,0.25348017774616327,0.004267789564523456,0.30013807323434577,0.005250265840637076,0.3389601985480355,0.005544425952712074,0.5804190479762831,0.004683333893278591,0.7986167935187544,0.035202079422636506,0.4013362240852459,0.029997373849435006,0.6166416622302698,0.006113236427178608,10.316249555966175,0.7165462361641644,0.19530498979564323,0.018653168192579436,-0.004974988372096527,0.0033485567773178238,0.9901458456896135,0.008850261477439954,0.9851198222692664,0.000555019116496983,0.08307135473039601,0.0005558685454609327,0.6508188636935205,0.7422563062817549
US,kernel_gp,181,3,0.548909249477313,0.01195270716864738,0.6161610576378126,0.011287926707502623,-0.09859463614054269,0.01691487720344981,0.5499347454117819,0.012106336607275803,0.3568642792414492,0.00699573436321301,2.2797639116182244,0.09593081167737914,0.05237401111384851,0.004920383887044439,0.5017214831239221,0.027676152897405545,0.8747758752840054,0.029459035056603137,0.9418278311570996,0.014062802437734204,0.5973413726351359,0.0090326126462178,1.0822534030728914,0.011934426220542721,1.3556560366990729,0.013765005683804874,1.572885814963344,0.016046154153257896,0.6592871703085738,0.006968321812368486,0.969279688619634,0.007929880387893317,0.5354602568986725,0.02812908394061108,0.13202704061765033,0.007091521008980683,0.27739153136927297,0.012986670928130202,0.166637372986569,0.01405091710657881,0.07699048355993006,0.00541136557035482,0.9778405020686676,0.008933599157342362,0.9897772535343693,0.0005566135034991242,0.07445651826081366,0.0005865784648895636,0.4993708974503519,0.5730873425416501
US,vanilla_3d_diffusion,181,3,0.4960746479697786,0.0047956188190983965,0.5326966267031362,0.00717332285338749,-0.08675735299308802,0.03668862249948291,0.4970688526093742,0.005110014146607929,0.311130185546809,0.0039307073838863995,2.7717636246783193,0.06558456885780523,0.4494877638170321,0.026558739564131757,0.8592205934685611,0.010027873159553431,0.9212962962962963,0.006000685831859109,0.9336419753086419,0.007420256345784749,0.9397866804493837,0.0060602687914033055,1.537806201228612,0.003381992787761341,1.8352369559092703,0.007828446114235731,2.0587326095712215,0.008185502430712446,0.6719135081355301,0.0022597830064661466,0.7653517551058536,0.06495636964230486,0.07835353205720241,0.06748917970298954,0.10269635886062611,0.013661134613613972,0.1642363585877343,0.022603060392543818,0.06274162722994478,0.0139027002722145,0.03918733362018323,0.0031008130436523673,0.9676654054269899,0.003983574743925085,0.9876438107937159,0.0003940493066202376,0.07244205734964172,0.00032840372408577355,0.4739861682517418,0.5169202421426838
US,eapp_only_diffusion,181,3,0.41872942891485293,0.008307995512095788,0.46999284451268836,0.01218195461228667,-0.11198438669259252,0.013320001082132802,0.4196545861735627,0.009087243209219423,0.2757007350540474,0.005498630491671272,2.561101622182209,0.06446326081689285,0.5456413730803975,0.030134693938359602,0.8756734006734006,0.00346449758034623,0.9256172839506173,0.00286222793070853,0.9333333333333332,0.004536092116265128,0.9184759357835374,0.0011170828816857443,1.4572000194362869,0.0022274165889750465,1.7266651952425978,0.0019123809017264981,1.931185944720961,0.008816833428752124,0.7145724572028684,0.004171138939524872,0.7431768527732977,0.07477886173893983,0.044716047936545454,0.029102218853062727,0.12978340768691074,0.016587723313157558,0.21170026651971266,0.024142281170569692,0.0635027098734854,0.017535374611248728,0.03407296009881925,0.004367026052463044,0.9716937943982135,0.0021166126096592783,0.9891898108216894,0.0008852396027564362,0.0675894021959962,0.000446263364631918,0.39661198242857987,0.4498372499323845
US,dps_inverse_diffusion,181,3,0.43373825650666037,0.010781461651709413,0.48962806101114986,0.017348956221127237,-0.05934085769610902,0.07301549479258848,0.43428805425059375,0.011016159259655258,0.2861326043808253,0.008346092841282734,1.9744519432455274,0.14327952669949395,0.034923079028770086,0.004372662299021948,0.47914784703402585,0.01771827611416376,0.8265757165147409,0.029865413502533134,0.9193075743888751,0.015941154095684126,0.4560557669787699,0.008428616065296119,0.8258006892459168,0.011780719408359305,1.0351096298432465,0.009483020882185797,1.2071775273547976,0.004621861001470534,0.7130798036117311,0.004021551496581611,0.9635620779746463,0.007416128831007172,0.29024009124499317,0.1253338109776513,0.11654979154260005,0.010068059740022499,0.3195831664946178,0.024203074349746622,0.10484756453243903,0.03344986314743703,0.052297390330808345,0.007324145909914805,0.9811577211260607,0.009392414941944547,0.9916688812324486,0.0009621863105982981,0.06842275433706708,0.0006779381050718243,0.3985350072777504,0.450553738588298
US,op_conditioned_diffusion_ours,181,3,0.22014105174252582,0.011199352284736916,0.27511176857872677,0.008674894650605162,-0.031560671274664866,0.006548002594989504,0.2209838185043056,0.011503104194751191,0.14003441540734637,0.004794254703210962,1.3416251353012578,0.0042009714264163835,0.5109523418466507,0.057647174113556854,0.9135309736935753,0.014536707224374426,0.9384539842873177,0.004526753802175924,0.954587542087542,0.0025896666772584442,0.4148208400517819,0.003756409508315783,0.7479051792803498,0.0020821095081195555,0.9313604382826637,0.006081882642627027,1.0831880569972958,0.010974039570389482,0.8412092252123843,0.007896466334605981,0.9945945945945946,0.0,0.25,0.0,0.06485234815413914,0.005537089051263537,0.26606949935843655,0.023980757527968636,0.0640190755139179,0.010297853783001134,0.052788535267876996,0.003162746490437666,0.9888746260130471,0.0008517831180185811,0.9963746392588897,0.0004647924213528397,0.056970078764252884,0.0010611275217265242,0.1977880662299619,0.23805214440414948
