operator,method,seed_id,mae_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm
PIEZO,vanilla_3d_diffusion,20260532,0.5958705341834121,0.42809983649322,0.9032258064516129,2.1975604767440466
PIEZO,vanilla_3d_diffusion,20260533,0.5995129275113433,0.4292160646055665,0.8924731182795699,2.201255431707187
US,direct_scalar_regression,20260531,1.3722852134448416,0.9486025979145922,0.7473118279569892,4.057017947973742
US,direct_scalar_regression,20260532,1.3713022996934472,0.9387282212994901,0.7634408602150538,4.076058816557289
US,direct_scalar_regression,20260533,1.3796025241908987,0.9538879214629965,0.7473118279569892,4.13975156545639
US,dps_inverse_diffusion,20260531,0.4380380736622655,0.28924495200600875,0.8064516129032258,1.0268694220371142
US,dps_inverse_diffusion,20260532,0.41153516483535896,0.2690084280716042,0.8225806451612904,1.0070410497726932
US,dps_inverse_diffusion,20260533,0.4271603472266954,0.28252890221136145,0.8709677419354839,1.0261265941845472
US,eapp_only_diffusion,20260531,0.4121260667724538,0.2706571662546564,0.9301075268817204,1.700301705989786
US,eapp_only_diffusion,20260532,0.41860303808881816,0.27347373337497993,0.9247311827956989,1.7027336583663057
US,eapp_only_diffusion,20260533,0.4323106283366732,0.283884160275999,0.9247311827956989,1.7061870599305757
US,kernel_gp,20260531,0.5525490700451298,0.3568179480423193,0.8494623655913979,1.3548894040046198
US,kernel_gp,20260532,0.5234389713069945,0.33972481925701004,0.9193548387096774,1.3219289749780647
US,kernel_gp,20260533,0.5349047246331028,0.3493437458757894,0.8709677419354839,1.3310878979022143
US,op_conditioned_diffusion_ours,20260531,0.20981236773561956,0.1355577809504703,0.9301075268817204,0.9098439369470842
US,op_conditioned_diffusion_ours,20260532,0.23327267913125657,0.14511963005059758,0.9408602150537635,0.925299115302742
US,op_conditioned_diffusion_ours,20260533,0.20951496418297538,0.1344127077971862,0.9408602150537635,0.9210920115151712
US,unet_3d,20260531,0.6931971342705022,0.6477359659528074,0.07526881720430108,0.3029952535065272
US,unet_3d,20260532,0.7060794530838914,0.6582224608408378,0.07526881720430108,0.3056492460511064
US,unet_3d,20260533,0.6854951972758181,0.6407121323474058,0.08064516129032258,0.2938385842307922
US,vanilla_3d_diffusion,20260531,0.4955467900504578,0.3121697653983151,0.9301075268817204,1.8036076722286078
US,vanilla_3d_diffusion,20260532,0.501604334879817,0.3142326941739912,0.9193548387096774,1.8179285429177743
US,vanilla_3d_diffusion,20260533,0.4896157854285672,0.30521626175707367,0.9139784946236559,1.8034979660344377
