case_id,config_id,seed_id,operator,method,depth_group,n_modes,mode_1_mm,mode_2_mm,mode_1_weight,mode_2_weight,valley_ratio,hdi90_components,multimodal_flag,q05_mm,q95_mm
eval_000,shallow_0231,20260532,US,kernel_gp,shallow,1,1.442885771543086,,1.0,,1.0,1,False,1.1213622093200684,1.918845009803772
eval_000,shallow_0231,20260533,US,kernel_gp,shallow,1,1.593186372745491,,1.0,,1.0,1,False,1.1222411334514617,1.8920729935169216
eval_000,shallow_0231,20260531,US,vanilla_3d_diffusion,shallow,1,1.533066132264529,,1.0,,1.0,1,False,0.9136196374893188,2.1045148491859433
eval_000,shallow_0231,20260532,US,vanilla_3d_diffusion,shallow,1,0.9619238476953907,,0.875,,1.0,1,False,0.8492765426635742,2.115431261062622
eval_000,shallow_0231,20260533,US,vanilla_3d_diffusion,shallow,2,1.0521042084168337,1.7134268537074147,0.828125,0.9921875,0.7989949081862598,1,False,0.9177276492118835,2.0584165453910828
eval_000,shallow_0231,20260531,US,eapp_only_diffusion,shallow,2,0.9619238476953907,1.653306613226453,0.9140625,1.0,0.7290115671187128,1,False,0.8115357756614685,1.894666391611099
eval_000,shallow_0231,20260532,US,eapp_only_diffusion,shallow,2,2.0440881763527052,2.7354709418837673,0.8671875,0.8671875,0.7142199652647481,1,True,1.741363787651062,2.9952054738998415
eval_000,shallow_0231,20260533,US,eapp_only_diffusion,shallow,2,1.7134268537074147,0.9619238476953907,1.0,0.84375,0.5958308711198492,1,True,0.8926630020141602,1.9859227657318113
eval_000,shallow_0231,20260531,US,dps_inverse_diffusion,shallow,1,1.6232464929859718,,1.0,,1.0,1,False,1.2622233390808106,1.8551160991191862
eval_000,shallow_0231,20260532,US,dps_inverse_diffusion,shallow,1,1.56312625250501,,1.0,,1.0,1,False,1.24379261136055,1.8590223968029023
eval_000,shallow_0231,20260533,US,dps_inverse_diffusion,shallow,1,1.6232464929859718,,1.0,,1.0,1,False,1.380684059858322,1.9535330832004547
eval_000,shallow_0231,20260531,US,op_conditioned_diffusion_ours,shallow,1,1.7134268537074147,,1.0,,1.0,1,False,1.3847870111465455,1.9201878964900971
eval_000,shallow_0231,20260532,US,op_conditioned_diffusion_ours,shallow,1,1.653306613226453,,1.0,,1.0,1,False,1.4409829378128052,1.9591922998428344
eval_000,shallow_0231,20260533,US,op_conditioned_diffusion_ours,shallow,1,1.6833667334669338,,1.0,,1.0,1,False,1.4429815351963042,1.9208307564258573
eval_001,ood_deep_1400,20260531,MMP,direct_scalar_regression,ood_deep,1,10.701402805611222,,0.40625,,1.0,1,False,7.260753965377807,13.324448204040525
eval_001,ood_deep_1400,20260532,MMP,direct_scalar_regression,ood_deep,1,11.753507014028056,,0.3359375,,1.0,1,False,7.842537355422974,14.005396747589108
eval_001,ood_deep_1400,20260533,MMP,direct_scalar_regression,ood_deep,1,9.889779559118237,,0.3359375,,1.0,1,False,7.3465336561203,13.537788248062133
eval_001,ood_deep_1400,20260531,MMP,unet_3d,ood_deep,1,12.024048096192384,,1.0,,1.0,1,False,11.882236003875732,12.17193603515625
eval_001,ood_deep_1400,20260532,MMP,unet_3d,ood_deep,1,12.054108216432866,,1.0,,1.0,1,False,11.891983127593994,12.148701572418213
eval_001,ood_deep_1400,20260533,MMP,unet_3d,ood_deep,1,14.098196392785571,,1.0,,1.0,1,False,13.955780792236329,14.212776231765748
eval_001,ood_deep_1400,20260531,MMP,kernel_gp,ood_deep,1,13.857715430861722,,0.8984375,,1.0,1,False,12.920809555053712,14.396374702453613
eval_001,ood_deep_1400,20260532,MMP,kernel_gp,ood_deep,1,12.294589178356713,,0.8515625,,1.0,1,False,11.292229652404785,13.11415662765503
eval_001,ood_deep_1400,20260533,MMP,kernel_gp,ood_deep,2,14.248496993987976,13.557114228456914,0.7109375,0.9609375,0.9025821325486945,1,False,12.813598155975342,14.382122039794922
eval_001,ood_deep_1400,20260531,MMP,vanilla_3d_diffusion,ood_deep,2,12.114228456913827,13.346693386773547,0.609375,0.4375,0.715586668843406,1,True,11.206611251831054,13.473554611206055
eval_001,ood_deep_1400,20260532,MMP,vanilla_3d_diffusion,ood_deep,1,13.737474949899799,,0.6953125,,1.0,1,False,12.06122283935547,13.897122383117676
eval_001,ood_deep_1400,20260533,MMP,vanilla_3d_diffusion,ood_deep,1,12.80561122244489,,0.7421875,,1.0,1,False,11.295354127883911,13.505313873291016
eval_001,ood_deep_1400,20260531,MMP,eapp_only_diffusion,ood_deep,1,12.20440881763527,,0.6953125,,1.0,1,False,11.237583541870118,13.458949089050293
eval_001,ood_deep_1400,20260532,MMP,eapp_only_diffusion,ood_deep,1,13.286573146292584,,0.6015625,,1.0,1,False,11.452460527420044,13.54605770111084
eval_001,ood_deep_1400,20260533,MMP,eapp_only_diffusion,ood_deep,1,13.527054108216433,,0.6328125,,1.0,1,False,11.88349289894104,13.747122764587402
eval_001,ood_deep_1400,20260531,MMP,dps_inverse_diffusion,ood_deep,1,12.264529058116231,,0.90625,,1.0,1,False,11.426062679290771,13.044277620315551
eval_001,ood_deep_1400,20260532,MMP,dps_inverse_diffusion,ood_deep,1,12.595190380761522,,0.921875,,1.0,1,False,11.764089393615723,13.37228889465332
eval_001,ood_deep_1400,20260533,MMP,dps_inverse_diffusion,ood_deep,1,12.595190380761522,,0.890625,,1.0,1,False,11.577365303039551,13.13914713859558
