case_id,config_id,seed_id,depth_group,operator,method,absolute_error_mm,d_out_mm,posterior_std_zbottom_mm
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,eapp_only_diffusion,1.048191015864976,2.061700875614516,0.5523674488067627
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,eapp_only_diffusion,2.6453972409709614,2.061700875614516,1.301561951637268
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,eapp_only_diffusion,2.283016259525649,2.061700875614516,1.1064316034317017
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,dps_inverse_diffusion,1.53910356268727,2.061700875614516,1.1832456588745117
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,dps_inverse_diffusion,0.3233718325153667,2.061700875614516,0.8405979871749878
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,dps_inverse_diffusion,0.30515856042064016,2.061700875614516,0.9111418724060059
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,op_conditioned_diffusion_ours,0.5071697782024067,2.061700875614516,1.1114393472671509
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,op_conditioned_diffusion_ours,0.7481766293986958,2.061700875614516,1.1229573488235474
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,op_conditioned_diffusion_ours,0.12007051215016062,2.061700875614516,0.7474186420440674
eval_001,ood_deep_1400,20260531,ood_deep,US,direct_scalar_regression,2.0137863706096333,2.061700875614516,2.014988422393799
eval_001,ood_deep_1400,20260532,ood_deep,US,direct_scalar_regression,1.9507732938274067,2.061700875614516,1.9769113063812256
eval_001,ood_deep_1400,20260533,ood_deep,US,direct_scalar_regression,2.3013020108684223,2.061700875614516,1.9292839765548706
eval_001,ood_deep_1400,20260531,ood_deep,US,unet_3d,1.371740286494859,2.061700875614516,0.11703306436538696
eval_001,ood_deep_1400,20260532,ood_deep,US,unet_3d,1.3450089047893208,2.061700875614516,0.11137118190526962
eval_001,ood_deep_1400,20260533,ood_deep,US,unet_3d,1.359298651363023,2.061700875614516,0.11715066432952881
eval_001,ood_deep_1400,20260531,ood_deep,US,kernel_gp,0.8707103182331402,2.061700875614516,0.5260134935379028
eval_001,ood_deep_1400,20260532,ood_deep,US,kernel_gp,0.7259749819294292,2.061700875614516,0.5449016690254211
eval_001,ood_deep_1400,20260533,ood_deep,US,kernel_gp,0.8367671419636089,2.061700875614516,0.5168728232383728
eval_001,ood_deep_1400,20260531,ood_deep,US,vanilla_3d_diffusion,0.2835617612346333,2.061700875614516,0.7687217593193054
eval_001,ood_deep_1400,20260532,ood_deep,US,vanilla_3d_diffusion,0.4215488980754536,2.061700875614516,0.6936190128326416
eval_001,ood_deep_1400,20260533,ood_deep,US,vanilla_3d_diffusion,0.2698479245647114,2.061700875614516,0.745014488697052
eval_001,ood_deep_1400,20260531,ood_deep,US,eapp_only_diffusion,0.14754300818287547,2.061700875614516,0.7322875261306763
eval_001,ood_deep_1400,20260532,ood_deep,US,eapp_only_diffusion,0.1759911130412739,2.061700875614516,0.7403741478919983
eval_001,ood_deep_1400,20260533,ood_deep,US,eapp_only_diffusion,0.10037523016773875,2.061700875614516,0.7462859749794006
eval_001,ood_deep_1400,20260531,ood_deep,US,dps_inverse_diffusion,0.49562067284739797,2.061700875614516,0.46178191900253296
eval_001,ood_deep_1400,20260532,ood_deep,US,dps_inverse_diffusion,0.8810797284587544,2.061700875614516,0.5755831003189087
eval_001,ood_deep_1400,20260533,ood_deep,US,dps_inverse_diffusion,0.4669513155475933,2.061700875614516,0.48551252484321594
eval_001,ood_deep_1400,20260531,ood_deep,US,op_conditioned_diffusion_ours,0.1850633074299175,2.061700875614516,0.4566692113876343
eval_001,ood_deep_1400,20260532,ood_deep,US,op_conditioned_diffusion_ours,0.39214139685475047,2.061700875614516,0.4896089732646942
eval_001,ood_deep_1400,20260533,ood_deep,US,op_conditioned_diffusion_ours,0.35308832421458547,2.061700875614516,0.43287065625190735
eval_002,ood_deep_1217,20260531,ood_deep,MMP,direct_scalar_regression,2.3140395107415053,1.2287924709465834,1.513026475906372
eval_002,ood_deep_1217,20260532,ood_deep,MMP,direct_scalar_regression,2.3396933498528334,1.2287924709465834,1.6429771184921265
eval_002,ood_deep_1217,20260533,ood_deep,MMP,direct_scalar_regression,2.374428075804982,1.2287924709465834,1.7634761333465576
eval_002,ood_deep_1217,20260531,ood_deep,MMP,unet_3d,0.8935110988762709,1.2287924709465834,0.06455118209123611
eval_002,ood_deep_1217,20260532,ood_deep,MMP,unet_3d,0.8724820194098619,1.2287924709465834,0.07276518642902374
eval_002,ood_deep_1217,20260533,ood_deep,MMP,unet_3d,0.8620984134528307,1.2287924709465834,0.06590106338262558
eval_002,ood_deep_1217,20260531,ood_deep,MMP,kernel_gp,0.5894009647223619,1.2287924709465834,0.5357846021652222
eval_002,ood_deep_1217,20260532,ood_deep,MMP,kernel_gp,0.5777285518792006,1.2287924709465834,0.4952537417411804
eval_002,ood_deep_1217,20260533,ood_deep,MMP,kernel_gp,0.7374493656012682,1.2287924709465834,0.45203033089637756
eval_002,ood_deep_1217,20260531,ood_deep,MMP,vanilla_3d_diffusion,0.5960915508416029,1.2287924709465834,0.7207490801811218
eval_002,ood_deep_1217,20260532,ood_deep,MMP,vanilla_3d_diffusion,0.39588193322685683,1.2287924709465834,0.7854577898979187
eval_002,ood_deep_1217,20260533,ood_deep,MMP,vanilla_3d_diffusion,0.6360451755377916,1.2287924709465834,0.6961344480514526
eval_002,ood_deep_1217,20260531,ood_deep,MMP,eapp_only_diffusion,0.16321591760185683,1.2287924709465834,0.6681807041168213
eval_002,ood_deep_1217,20260532,ood_deep,MMP,eapp_only_diffusion,0.09120969201591933,1.2287924709465834,0.6813055276870728
eval_002,ood_deep_1217,20260533,ood_deep,MMP,eapp_only_diffusion,0.2336232242438463,1.2287924709465834,0.7199388742446899
eval_002,ood_deep_1217,20260531,ood_deep,MMP,dps_inverse_diffusion,0.4975544986579088,1.2287924709465834,0.41081786155700684
eval_002,ood_deep_1217,20260532,ood_deep,MMP,dps_inverse_diffusion,0.6711937961432604,1.2287924709465834,0.3941458463668823
eval_002,ood_deep_1217,20260533,ood_deep,MMP,dps_inverse_diffusion,0.4490353641364244,1.2287924709465834,0.355596125125885
eval_002,ood_deep_1217,20260531,ood_deep,MMP,op_conditioned_diffusion_ours,0.2420155582282213,1.2287924709465834,0.3775179386138916
eval_002,ood_deep_1217,20260532,ood_deep,MMP,op_conditioned_diffusion_ours,0.08126477624443496,1.2287924709465834,0.4028005003929138
eval_002,ood_deep_1217,20260533,ood_deep,MMP,op_conditioned_diffusion_ours,0.2353556575920912,1.2287924709465834,0.37820860743522644
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,direct_scalar_regression,0.6159480037834975,1.2287924709465834,2.0764591693878174
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,direct_scalar_regression,1.1531670513298842,1.2287924709465834,2.0131964683532715
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,direct_scalar_regression,0.8791945400383803,1.2287924709465834,1.9559721946716309
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,unet_3d,1.2384917316291002,1.2287924709465834,1.7816500663757324
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,unet_3d,1.9541399898674818,1.2287924709465834,2.819234848022461
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,unet_3d,1.8602202358391615,1.2287924709465834,2.763047218322754
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,kernel_gp,1.1878760280754896,1.2287924709465834,1.4728243350982666
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,kernel_gp,0.6198403415534166,1.2287924709465834,1.2430223226547241
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,kernel_gp,1.2099116268303725,1.2287924709465834,1.5060125589370728
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,vanilla_3d_diffusion,1.33092908288506,1.2287924709465834,1.1104670763015747
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,vanilla_3d_diffusion,1.3102114620354506,1.2287924709465834,1.0156958103179932
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,vanilla_3d_diffusion,1.5380862178948256,1.2287924709465834,1.0430442094802856
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,eapp_only_diffusion,1.2625491199347643,1.2287924709465834,0.6987615823745728
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,eapp_only_diffusion,2.0149910869744154,1.2287924709465834,1.0379282236099243
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,eapp_only_diffusion,1.6825087490227553,1.2287924709465834,1.0204187631607056
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,dps_inverse_diffusion,0.5280240001824232,1.2287924709465834,1.209253191947937
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,dps_inverse_diffusion,0.5303776683953139,1.2287924709465834,1.1193737983703613
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,dps_inverse_diffusion,0.6555293026116225,1.2287924709465834,1.042734980583191
eval_002,ood_deep_1217,20260531,ood_deep,PIEZO,op_conditioned_diffusion_ours,0.8484709682610365,1.2287924709465834,1.1320208311080933
eval_002,ood_deep_1217,20260532,ood_deep,PIEZO,op_conditioned_diffusion_ours,0.8166945400383803,1.2287924709465834,1.1394784450531006
eval_002,ood_deep_1217,20260533,ood_deep,PIEZO,op_conditioned_diffusion_ours,0.3040902194831041,1.2287924709465834,0.8867442011833191
eval_002,ood_deep_1217,20260531,ood_deep,US,direct_scalar_regression,2.3767283382561537,1.2287924709465834,1.5834014415740967
eval_002,ood_deep_1217,20260532,ood_deep,US,direct_scalar_regression,2.4372418346550795,1.2287924709465834,1.5088051557540894
eval_002,ood_deep_1217,20260533,ood_deep,US,direct_scalar_regression,1.7228043499138685,1.2287924709465834,1.8844573497772217
eval_002,ood_deep_1217,20260531,ood_deep,US,unet_3d,1.1312096538689467,1.2287924709465834,0.10191261768341064
eval_002,ood_deep_1217,20260532,ood_deep,US,unet_3d,1.1643158969733385,1.2287924709465834,0.10632339864969254
eval_002,ood_deep_1217,20260533,ood_deep,US,unet_3d,1.149551671996388,1.2287924709465834,0.08939506858587265
eval_002,ood_deep_1217,20260531,ood_deep,US,kernel_gp,0.9122546138909193,1.2287924709465834,0.6385489106178284
eval_002,ood_deep_1217,20260532,ood_deep,US,kernel_gp,0.7164418277594713,1.2287924709465834,0.4841115176677704
eval_002,ood_deep_1217,20260533,ood_deep,US,kernel_gp,0.7801796970221666,1.2287924709465834,0.6073507070541382
eval_002,ood_deep_1217,20260531,ood_deep,US,vanilla_3d_diffusion,0.10899285699394667,1.2287924709465834,0.720018744468689
eval_002,ood_deep_1217,20260532,ood_deep,US,vanilla_3d_diffusion,0.34244509314033067,1.2287924709465834,0.7344276309013367
eval_002,ood_deep_1217,20260533,ood_deep,US,vanilla_3d_diffusion,0.2543465671393541,1.2287924709465834,0.7191789150238037
eval_002,ood_deep_1217,20260531,ood_deep,US,eapp_only_diffusion,0.09319905663994277,1.2287924709465834,0.7462255358695984
eval_002,ood_deep_1217,20260532,ood_deep,US,eapp_only_diffusion,0.2093159732672838,1.2287924709465834,0.6958023905754089
eval_002,ood_deep_1217,20260533,ood_deep,US,eapp_only_diffusion,0.0265013751837877,1.2287924709465834,0.6713306903839111
eval_002,ood_deep_1217,20260531,ood_deep,US,dps_inverse_diffusion,0.4615061702874037,1.2287924709465834,0.4566419720649719
eval_002,ood_deep_1217,20260532,ood_deep,US,dps_inverse_diffusion,0.6511742648932604,1.2287924709465834,0.39620649814605713
eval_002,ood_deep_1217,20260533,ood_deep,US,dps_inverse_diffusion,0.7214819965216783,1.2287924709465834,0.4809311628341675
eval_002,ood_deep_1217,20260531,ood_deep,US,op_conditioned_diffusion_ours,0.10380621527167833,1.2287924709465834,0.4356380105018616
eval_002,ood_deep_1217,20260532,ood_deep,US,op_conditioned_diffusion_ours,0.3119923648688463,1.2287924709465834,0.398453950881958
eval_002,ood_deep_1217,20260533,ood_deep,US,op_conditioned_diffusion_ours,0.27068300817939317,1.2287924709465834,0.37500235438346863
eval_003,ood_deep_1599,20260531,ood_deep,MMP,direct_scalar_regression,3.0678297351427144,3.4552809070177144,2.174877882003784
eval_003,ood_deep_1599,20260532,ood_deep,MMP,direct_scalar_regression,2.7829443286485738,3.4552809070177144,2.072880268096924
eval_003,ood_deep_1599,20260533,ood_deep,MMP,direct_scalar_regression,2.5471159289903706,3.4552809070177144,2.0858237743377686
eval_003,ood_deep_1599,20260531,ood_deep,MMP,unet_3d,1.1749063800401753,3.4552809070177144,0.10469704121351242
eval_003,ood_deep_1599,20260532,ood_deep,MMP,unet_3d,0.5444368053846294,3.4552809070177144,0.001273982459679246
eval_003,ood_deep_1599,20260533,ood_deep,MMP,unet_3d,0.5447190929822856,3.4552809070177144,0.0
eval_003,ood_deep_1599,20260531,ood_deep,MMP,kernel_gp,0.8814388583726949,3.4552809070177144,0.6151572465896606
eval_003,ood_deep_1599,20260532,ood_deep,MMP,kernel_gp,0.813795692784316,3.4552809070177144,0.6051628589630127
eval_003,ood_deep_1599,20260533,ood_deep,MMP,kernel_gp,0.17304074062632857,3.4552809070177144,0.32793593406677246
eval_003,ood_deep_1599,20260531,ood_deep,MMP,vanilla_3d_diffusion,0.8438001941270894,3.4552809070177144,0.5676722526550293
eval_003,ood_deep_1599,20260532,ood_deep,MMP,vanilla_3d_diffusion,0.8709398578233785,3.4552809070177144,0.6381262540817261
eval_003,ood_deep_1599,20260533,ood_deep,MMP,vanilla_3d_diffusion,0.9447504352159566,3.4552809070177144,0.6566288471221924
eval_003,ood_deep_1599,20260531,ood_deep,MMP,eapp_only_diffusion,0.7255140613145894,3.4552809070177144,0.5108800530433655
eval_003,ood_deep_1599,20260532,ood_deep,MMP,eapp_only_diffusion,0.6627146075792378,3.4552809070177144,0.5137534141540527
eval_003,ood_deep_1599,20260533,ood_deep,MMP,eapp_only_diffusion,0.9354959796495503,3.4552809070177144,0.58327716588974
