operator,method,seed_id,coverage_fraction,risk_mae_mm,oracle_risk_mae_mm
PIEZO,op_conditioned_diffusion_ours,20260532,0.2,0.1717455315915068,0.13905038998375435
PIEZO,op_conditioned_diffusion_ours,20260532,0.25,0.17779959852002583,0.1507150574923772
PIEZO,op_conditioned_diffusion_ours,20260532,0.30000000000000004,0.19077897262507845,0.16629356875682957
PIEZO,op_conditioned_diffusion_ours,20260532,0.35000000000000003,0.20439454032963278,0.18208866740568347
PIEZO,op_conditioned_diffusion_ours,20260532,0.4,0.21763540325016004,0.1976260117775097
PIEZO,op_conditioned_diffusion_ours,20260532,0.45,0.2598183483704318,0.22092845491254362
PIEZO,op_conditioned_diffusion_ours,20260532,0.5,0.300743719376774,0.24504558320333397
PIEZO,op_conditioned_diffusion_ours,20260532,0.55,0.32723129325756944,0.27521341170250524
PIEZO,op_conditioned_diffusion_ours,20260532,0.6000000000000001,0.3677088769345104,0.3133460779659106
PIEZO,op_conditioned_diffusion_ours,20260532,0.65,0.40331081656665657,0.34914126958168173
PIEZO,op_conditioned_diffusion_ours,20260532,0.7,0.42876578634584167,0.38429317085603254
PIEZO,op_conditioned_diffusion_ours,20260532,0.75,0.47449079757397367,0.42231183467665556
PIEZO,op_conditioned_diffusion_ours,20260532,0.8,0.5064678419596476,0.4554004603295719
PIEZO,op_conditioned_diffusion_ours,20260532,0.8500000000000001,0.5297866503093143,0.4872948639026846
PIEZO,op_conditioned_diffusion_ours,20260532,0.9000000000000001,0.5524069891221445,0.5193624451215381
PIEZO,op_conditioned_diffusion_ours,20260532,0.95,0.5768310129225573,0.5540905551411475
PIEZO,op_conditioned_diffusion_ours,20260532,1.0,0.587007437997117,0.587007437997117
PIEZO,op_conditioned_diffusion_ours,20260533,0.2,0.15670659112210367,0.12559207414398568
PIEZO,op_conditioned_diffusion_ours,20260533,0.25,0.16441774072506998,0.13747586787431212
PIEZO,op_conditioned_diffusion_ours,20260533,0.30000000000000004,0.1798777657820961,0.15020776241022124
PIEZO,op_conditioned_diffusion_ours,20260533,0.35000000000000003,0.18806992852216595,0.16215923963655493
PIEZO,op_conditioned_diffusion_ours,20260533,0.4,0.1944946655578672,0.17705869858882267
