figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa,calibrated_score
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,5000,15000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.642450482308363,12.37658328691996,0.7751069252963773,6.359126701791754,0.8254340277777777,32.995263097281914,8.212317232681878
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,0.8467588831391383,2.3381411945762944,0.5524533501843549,0.763252782983376,0.8928819444444445,3.289064651541575,0.8527861599114828
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,4.398749516230434,6.659086556429199,0.8167361339794024,3.449334475614823,0.8853298611111111,19.32930165703886,4.463279782570968
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.2844617741193085,11.258351111797007,0.6924550238921247,5.747178659824341,0.8815104166666666,32.57263166428503,7.419148437130369
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.279345917181485,2.0674755417401003,0.8516269752559944,0.6050448332797927,0.7921875,1.2562576722415009,0.727067060035422
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.3312521716386287,7.963364719374232,0.8512156341338463,3.075201963469749,0.8240451388888889,6.167862933756975,3.5842769676615283
Figure 2,2D,US,ultrasound,U-Net,U-Net,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.875488416826038,18.92496058362579,0.8130002662755718,6.215375975676795,0.7499131944444445,9.703587674552336,7.907408509941682
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,10000,30000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,5.444217249936896,30.800408783379986,0.5492796264018449,19.390674213135625,0.9948784722222223,186.27457907756553,24.635505271523268
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,10000,30000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,59.70297980933856,65.51494455303695,0.268932679112688,38.94743499593606,0.8416666666666667,186.27457907756553,63.185653631549975
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,10000,30000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,64.1390993160619,71.76932883899751,0.21279050097736255,42.91585388907019,0.7753472222222222,186.27457907756553,72.1342162099738
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,0.6562665438436834,2.0734556877092536,0.04218675431101948,0.5962458613382138,0.7578993055555555,0.9568276247533164,0.7495224754645263
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,2.7440679248838995,6.873219364022011,0.8705178646512844,2.478576330677924,0.7910590277777778,4.204595398948138,3.043009352464568
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,10000,10000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.117417762567027,12.61225897822333,0.8373028933830259,4.620674691413326,0.7164930555555555,6.984231897721807,6.056499459621427
