figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa,calibrated_score
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.443123932060632,5.603272031544899,0.8759441771521349,2.711938440918051,0.8000868055555556,10.456209039081212,3.787137442980926
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.613956263754271,11.222112477571255,0.7687929669980734,5.384775046284953,0.7627604166666667,17.37182097722755,7.5216528655767965
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,500,1500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.8527894300547838,5.770974394827878,0.9218488149905064,3.4018889963009644,0.9702256944444444,32.73975376570541,3.6937487409065284
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,500,1500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.449678134772461,11.696197934530279,0.788185814736895,6.1005987758202735,0.8408854166666667,32.73975376570541,7.890062753676979
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,500,1500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.6528735674993165,12.495092377376725,0.7636292220379044,6.382354037351286,0.8274305555555556,32.73975376570541,8.208238350696316
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.2056233992704937,3.178917356124122,0.5431572367018542,1.0953606653534238,0.9229166666666667,5.825415800573282,1.2332522688371093
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.636745195990422,7.799544668848132,0.7810758270444397,4.284814621888491,0.8677083333333333,24.356942339347732,5.818765092944279
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.4742703324649105,10.818376396187592,0.7968745758681809,5.939130762078877,0.9167534722222223,41.31758920185196,7.599490312861241
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,3.4964908939572252,2.577675584253899,0.8405022440735723,0.8834853842790147,0.8362847222222223,2.8205669965209426,1.070916887495078
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.5800638281731545,6.431741615917644,0.8632465505946328,3.000243106313969,0.7894097222222223,9.918942414948416,3.9759840813929985
Figure 2,2D,US,ultrasound,U-Net,U-Net,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.727801487061557,12.655491301910784,0.7771889225279365,5.691504933844447,0.7864583333333334,18.820146123032657,7.491687280905004
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,1000,3000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,5.004734019499431,26.99788741789084,0.5715006924296,18.532388474646257,1.0,195.2876212424574,22.75274485672218
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,1000,3000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,63.106353218071845,68.635408759191,0.24696228077952315,40.964749246066134,0.8517361111111111,195.2876212424574,66.15211123797184
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,1000,3000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,66.1252571222407,72.3862342895726,0.21886540649232053,43.457516856098835,0.8105902777777778,195.2876212424574,72.03749799341327
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.007435573863745,2.47256815786682,0.034913537669591155,0.8270570037586009,0.8407986111111111,2.6637657368038776,1.0670771590525536
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.185078661973113,5.669761474786552,0.8755683233952039,2.5866069094038906,0.7855034722222223,8.308690296409603,3.549759109468125
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,1000,1000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.807147123313011,11.289725000792805,0.8003324326423312,4.911397800755067,0.7839409722222223,14.132688684866537,6.481118972607238
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,1000,3000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.7229787717940643,5.653911998028861,0.9230784407979624,3.4510708599377606,0.9756076388888889,34.921859598938454,3.452229956687193
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,1000,3000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.516270604261541,11.61525948538947,0.7850776730506989,6.118182002721811,0.8536458333333333,34.921859598938454,7.864681064563248
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,1000,3000,161,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.716380998064452,12.39757260454522,0.7645907145005515,6.394181912285968,0.8401041666666667,34.921859598938454,8.178560068261023
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.06433244558849,2.8127751014731546,0.5473622499181631,0.9622099143354556,0.915625,4.846155991295959,1.08096264005081
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.209458916614499,7.422916785432103,0.7932822748400955,4.019631354927875,0.8667534722222222,22.667201054305814,5.382655337192915
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.951959352803182,10.175206214097269,0.7941243888991868,5.498276334398994,0.9263888888888889,37.53090378968406,7.1354138357243775
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.9766575025914905,2.2976789203007004,0.8481816472426273,0.7595906989383084,0.8270833333333333,2.277352948138428,0.9195870091899696
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.337413035695666,6.769158981626354,0.8629492137279804,2.898513523339266,0.8174479166666667,8.139482024446474,3.612923434736168
Figure 2,2D,US,ultrasound,U-Net,U-Net,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.562384465816101,13.337282615146623,0.78906980023499,5.654492655981211,0.7605902777777778,14.679943664071347,7.477244661310949
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,2000,6000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,4.907857274748083,27.051342987001686,0.5858967082610902,18.44751303262289,1.0,193.31285427380678,22.31231948200912
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,2000,6000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,62.30331998148669,68.24724009548918,0.24525812326268676,40.629545379181934,0.8394097222222222,193.31285427380678,66.07829544564274
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,2000,6000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,65.7169471529266,72.63121941995551,0.21070272618421307,43.506848240330285,0.7934027777777778,193.31285427380678,72.72219117235315
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,0.8152511985529669,2.2275621643244685,0.038107297593816813,0.7020839419428144,0.8157118055555556,1.8983164121615168,0.8839672500976657
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,2.8984502882302814,5.891467270188836,0.8768694021634476,2.4596350388955606,0.7984375,6.567654698888874,3.1928241456286695
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,2000,2000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.491081628100305,11.350696918592456,0.816492198546978,4.739603544937778,0.7721354166666666,11.04274225724439,6.193196492526673
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,2000,6000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.6637459656103821,5.667074671250568,0.9295109296102079,3.3841761228922778,0.9730034722222223,33.96196736299512,3.325477815311067
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,2000,6000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.391265564871467,11.527954603034622,0.7905210772767693,6.053060347158028,0.8442708333333333,33.96196736299512,7.803174635413782
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,2000,6000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.617787118269761,12.367586755764643,0.7696561375216486,6.351609273472378,0.8344618055555556,33.96196736299512,8.117043131663308
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,0.9431644676628025,2.581172689699334,0.5502236353614073,0.8501851133856936,0.9050347222222223,3.856439673683671,0.9479130387673548
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,4.7143147304312585,6.968351415243642,0.8091840752147279,3.691044878090811,0.8580729166666666,20.044822701846705,4.911972196993611
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.363178521833893,10.930068705534728,0.735963708799354,5.769168662860568,0.8888020833333333,34.56968773559806,7.445630781323179
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.6494491654928973,2.1940913405665348,0.8485351401326433,0.6933711101134515,0.8034722222222223,1.6558941936162868,0.836513969192564
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.286134572937283,7.404885479990671,0.8582727363005436,2.970809770123536,0.8231770833333333,6.721884924288758,3.5385850153894967
Figure 2,2D,US,ultrasound,U-Net,U-Net,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.59319308509374,16.133829313482163,0.8030472503766456,5.840469125374529,0.7578993055555555,11.376512296389732,7.53009040109187
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,5000,15000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,5.056174504741659,28.338171397012506,0.569214539388055,18.65367502413059,0.9998263888888889,188.80568297670948,22.98297794685994
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,5000,15000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,61.11806781797568,67.08826841297612,0.2539756543476955,39.936514530654456,0.83359375,188.80568297670948,65.17668950901313
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,5000,15000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,65.0396325663811,72.3385953118556,0.2097531547789244,43.3385575695099,0.7800347222222223,188.80568297670948,72.8421301537716
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,0.7192658142590912,2.13776077635014,0.04146143224197185,0.6392251997057661,0.7930555555555555,1.3125903536314418,0.7961872971729107
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,2.7245118897035985,6.285304207753591,0.8748999816786545,2.400758746325604,0.7959201388888889,5.021266492012853,3.0080787087795198
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,5000,5000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.057969174226736,11.574733075105897,0.8334487253731954,4.462666732446341,0.7600694444444445,8.492758560419087,5.765733610759157
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,5000,15000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.6912419045251166,6.543363729594212,0.9257242761819958,3.4794070070293555,0.9672743055555556,32.995263097281914,3.362386993095699
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,5000,15000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.338817133170826,11.386913427203286,0.7945109011737278,5.985522966696025,0.8431423611111111,32.995263097281914,7.756084947600243
