figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm,calibrated_score
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.9308034792661884,1.0460149500209814,0.866796230366128,0.04897193479510542,0.34800332348526036,0.7986167935187544,1.045272003650305
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.415882686417806,1.6827691661853623,0.9729698658503491,0.7838804713804713,4.197636091282148,0.45522714720908386,1.2875428112997687
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.1726213011172766,1.320866957576093,0.8218602664522853,0.7716049382716049,4.491971587788991,0.34370787886610876,2.8850495191354595
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.774155474641657,2.1187070513440114,1.209916876060675,0.7597152076318744,4.817196647861482,0.4798810075735781,1.045272003650305
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6991574479703939,0.7650339941323969,0.6571628440887576,0.03972140100188881,0.2381307860746405,0.8800557753234978,0.968336171779512
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.0571691326498414,1.3399085943671656,1.0500408159317778,0.6046085858585858,3.8062978368960887,0.8212105102929353,2.436059452729825
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.2117503993897503,1.3969671440282085,1.1603590335349254,0.030979510552681222,0.46792401488526064,0.7986167935187544,1.019634556431057
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6521617172325761,0.7531057574286177,0.42581205135417727,0.8962968095590047,1.6022787334281996,0.9356028159306848,0.7852314800043522
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6657768786713276,0.9083684730196067,0.49691171525454714,0.8937429854096522,2.9577704650092738,0.9588478085047406,1.8871171444288573
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.804030462901272,0.9147239262507879,0.5263599022145683,0.8425789055870356,1.8119682312752192,0.969279688619634,0.7200995457447115
