model,method_label,scenario_key,scenario_label,n_seeds,ssim_norm_retention_mean,ssim_norm_retention_std,psnr_norm_retention_mean,psnr_norm_retention_std,spearman_pixel_retention_mean,spearman_pixel_retention_std,mae_kpa_retention_mean,mae_kpa_retention_std,rmse_kpa_retention_mean,rmse_kpa_retention_std,mae_norm_retention_mean,mae_norm_retention_std,rmse_norm_retention_mean,rmse_norm_retention_std
train_mean_prior,Mean prior,ood_unseen_operator_noise,Noise/drift OOD,5,0.922796226751679,1.1102230246251565e-16,1.0295100425205237,0.0,,0.0,1.0858876331048446,0.0,1.0709748231509655,0.0,1.0387206946068879,0.0,1.0457622956541612,0.0
srcnn_bz_single_channel,SRCNN,ood_unseen_operator_noise,Noise/drift OOD,5,1.1383074813098248,0.30588280419884223,1.0461621725932795,0.0023051604635491185,1.1251315916927216,0.014845189692673406,1.1174649199556304,0.02342018710276865,1.0805936803026472,0.008482439246554934,1.0951632010489756,0.053681140498430126,1.0758628471050988,0.003837560230966525
unet_canonical_bxyz,U-Net,ood_unseen_operator_noise,Noise/drift OOD,5,1.0194445710750053,0.1627820040729356,1.0135657139002503,0.01148936518462582,0.9416061717543635,0.015746360835050995,1.0901179795945801,0.03784698778241332,1.1214005811369168,0.020096371008957743,1.018711086682901,0.05534850628573855,1.0258256045210374,0.02189672866024017
vanilla_diffusion,Vanilla diffusion,ood_unseen_operator_noise,Noise/drift OOD,5,0.8129105940788021,0.02903181027498367,0.9615648391862888,0.06273378636564673,1.0444815246200494,0.15630287950030605,0.9640287118122117,0.08490971068331132,0.9909702332185774,0.06218794242492348,0.9707962804202284,0.04676818522561874,0.9705313571660362,0.047884553063575266
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_operator_noise,Noise/drift OOD,5,0.7957618364336217,0.2863537294136669,1.0058770655451088,0.013772737015193314,0.9295419572667774,0.008071224044501791,1.0442421987586283,0.04566204900160779,1.1233272824617078,0.024718387025125105,0.9346314938500837,0.10931449341026171,1.0113776269284778,0.02596367411896432
train_mean_prior,Mean prior,ood_unseen_shape,Morphology OOD,5,0.786536080792767,0.0,1.0009329120684471,0.0,,0.0,0.95796153422558,0.0,0.8787740972992623,0.0,1.0312224822347942,0.0,1.0014155759170966,0.0
srcnn_bz_single_channel,SRCNN,ood_unseen_shape,Morphology OOD,5,1.03002669417819,0.23477038125504088,0.9860111677045387,0.002133647389624482,0.9321070494478063,0.013260527923717184,0.9440348120691331,0.0094840436224948,0.8631043629144592,0.002527569358743338,1.0290817440689572,0.024797437185849987,0.9780912390103558,0.00329833794620871
unet_canonical_bxyz,U-Net,ood_unseen_shape,Morphology OOD,5,0.8980957616172709,0.06361054374557129,0.9198132141641923,0.006614762323253997,0.8199302071049507,0.007222748373497429,0.8409540175139767,0.019482904544052562,0.7907871656579262,0.007451603055686824,0.8648902680598536,0.031640271542605666,0.8609546356857797,0.011186836897702035
vanilla_diffusion,Vanilla diffusion,ood_unseen_shape,Morphology OOD,5,0.5290429721068488,0.009739781138425632,0.9626608788019422,0.07170894418826018,1.057083647839168,0.11758449700640744,0.9299250785850346,0.08972375839335625,0.9026959160015933,0.05459645229676993,0.9645255813436279,0.05324532746860794,0.971409907401781,0.05481843681025926
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_shape,Morphology OOD,5,0.7284497440244003,0.314255707206883,0.9182926317538577,0.011855543828397284,0.8465032685826248,0.006136004709758051,0.8242424789959578,0.046586788561356715,0.7959320882492091,0.0058105054703054375,0.8295704405836577,0.09407440587312065,0.8589411801157407,0.020024259239324216
