seed,model,method_label,scenario_key,scenario_label,ssim_norm_retention,psnr_norm_retention,spearman_pixel_retention,mae_kpa_retention,rmse_kpa_retention,mae_norm_retention,rmse_norm_retention
3,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_shape,Morphology OOD,0.41905567560650586,0.9073178492943323,0.8387437381118453,0.7729255338942322,0.79647271658686,0.71961186860022,0.8402190241749147
4,train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,0.995014541716441,0.990357770370419,,0.9314266938209317,0.8666736866942829,1.0014503405928725,0.985485844215177
4,srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,0.992327124149141,0.9823803819557074,0.9740033820647522,0.9326782841832446,0.8512113995727641,1.0213693535486512,0.9724971401005736
4,unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,1.0014433829664204,0.9945423796189572,0.9821447941311919,0.9289005005635163,0.8568118724674343,1.0195037725343152,0.9898269942087561
4,vanilla_diffusion,Vanilla diffusion,ood_unseen_depth_range,Depth OOD,0.9256079056084582,0.9205854237598345,0.9649946872656596,0.8733087475541133,0.8617515060438458,0.9408211746379699,0.9396730778979911
4,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_depth_range,Depth OOD,1.2360423310627786,0.9982791532432056,0.9842152230169533,0.9501183968823566,0.8510549976888454,1.1067546034268523,0.9968085016683859
4,train_mean_prior,Mean prior,ood_unseen_layer_modulus,Mechanical-background OOD,0.9549922181119627,0.9823042926432034,,0.929628717856903,0.9017275174270738,0.9866566167756988,0.973524772179098
4,srcnn_bz_single_channel,SRCNN,ood_unseen_layer_modulus,Mechanical-background OOD,0.9696664783877464,1.0103460605564558,1.2476546862538698,0.9383508002522847,0.9107466035984116,1.015678002020721,1.0165104503391538
4,unet_canonical_bxyz,U-Net,ood_unseen_layer_modulus,Mechanical-background OOD,0.8800867909598215,1.002959262474459,0.9796328127366901,0.9397947565333183,0.9426548767456375,0.9858575970869377,1.005559713407558
4,vanilla_diffusion,Vanilla diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,0.8962112499547992,1.0377154751343702,1.2627317546957961,1.0262412280130204,0.9745307603362173,1.0284292275842164,1.0299919563883368
4,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,0.723959006180756,1.0013136324379897,1.0114052463728087,0.9253891619804132,0.9467988538060184,0.9586133304441573,1.0024431505000033
4,train_mean_prior,Mean prior,ood_unseen_operator_noise,Noise/drift OOD,0.9227962267516792,1.0295100425205237,,1.0858876331048446,1.0709748231509655,1.0387206946068879,1.0457622956541612
