model,method_label,scenario_key,scenario_label,n_rows,n_seeds,mae_norm_mean,mae_norm_std,mae_norm_sem,rmse_norm_mean,rmse_norm_std,rmse_norm_sem,psnr_norm_mean,psnr_norm_std,psnr_norm_sem,ssim_norm_mean,ssim_norm_std,ssim_norm_sem,mae_kpa_mean,mae_kpa_std,mae_kpa_sem,rmse_kpa_mean,rmse_kpa_std,rmse_kpa_sem,spearman_pixel_mean,spearman_pixel_std,spearman_pixel_sem,crps_norm_mean,crps_norm_std,crps_norm_sem,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,posterior_std_norm_mean_sem,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,uncertainty_error_spearman_sem,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,failure_auroc_top10_abs_error_sem,uce_mean,uce_std,uce_sem,ause_abs_error_mean,ause_abs_error_std,ause_abs_error_sem,pit_mean_mean,pit_mean_std,pit_mean_sem
train_mean_prior,Mean prior,ood_unseen_layer_modulus,Mechanical-background OOD,5,5,0.1460379064083099,0.0,0.0,0.22549249935045973,2.7755575615628914e-17,1.3877787807814457e-17,12.937357993226666,1.7763568394002505e-15,8.881784197001252e-16,0.0317656520346645,0.0,0.0,4.367835521697998,0.0,0.0,12.731186693471408,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
srcnn_bz_single_channel,SRCNN,ood_unseen_layer_modulus,Mechanical-background OOD,5,5,0.1175884291529655,0.0021058363394256133,0.0010529181697128064,0.20208003834474528,0.00046137651388857855,0.00023068825694428927,13.889554320481988,0.019827345554689495,0.009913672777344748,0.15912609151564533,0.019439555057302597,0.009719777528651299,4.030558395385742,0.02956013224386039,0.014780066121930193,12.204848539345011,0.05150103161410838,0.025750515807054185,0.4085346587045837,0.0031249776212832195,0.0015624888106416095,0.11758842766284938,0.0021058350869067126,0.0010529175434533563,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.20093282066548857,0.00048327232057213565,0.00024163616028606783,0.08317479849235457,0.0012078599470407999,0.0006039299735203999,0.14400329589843747,0.001367883845515163,0.0006839419227575815
unet_canonical_bxyz,U-Net,ood_unseen_layer_modulus,Mechanical-background OOD,5,5,0.07318101525306696,0.002749701793436649,0.0013748508967183245,0.15179761521658114,0.0025261580832938706,0.001263079041646935,16.375891325195006,0.14342321165795327,0.07171160582897664,0.38903184849768874,0.05646669447909069,0.02823334723954534,2.9880269050598143,0.0742590654017283,0.037129532700864144,9.69638595851568,0.25421527395428656,0.12710763697714328,0.5466526228145698,0.011210840265271672,0.005605420132635836,0.07318101525306696,0.002749701793436649,0.0013748508967183245,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.14953974056599723,0.0025537020698091586,0.0012768510349045793,0.05253781636806952,0.0011197274853403814,0.0005598637426701906,0.1175491333007812,0.00654333206135989,0.0032716660306799446
vanilla_diffusion,Vanilla diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,5,5,0.4511463284492493,0.017410172354574805,0.0087050861772874,0.4649690084116623,0.0185504469634331,0.009275223481716548,6.658409695278602,0.34566274169955413,0.17283137084977704,0.04781070356839332,0.0005049347453233592,0.00025246737266167954,13.094568824768066,0.8896530140814979,0.44482650704074894,15.150754780212072,0.6439462876097867,0.32197314380489334,0.3115788164198978,0.02584069763572175,0.012920348817860874,,0.0,0.0,0.08492231518030162,0.008356690133898328,0.004178345066949164,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,5,5,0.08781896531581874,0.01800984744466368,0.00900492372233184,0.15785352100260297,0.00662119949179906,0.00331059974589953,16.04231000638159,0.35550949687107275,0.17775474843553637,0.24310550505761053,0.09861214204697918,0.04930607102348959,3.2079439640045164,0.23772906837128155,0.11886453418564076,9.857056668576845,0.28022816882922136,0.14011408441461065,0.5500376763072206,0.0053150682924240035,0.0026575341462120017,0.060580561310052836,0.01185638069596724,0.00592819034798362,0.07334608957171437,0.012665787235684749,0.006332893617842374,0.7876262748880014,0.06813134861042915,0.034065674305214566,0.811800920522584,0.038038165637074337,0.019019082818537168,0.0683193459651132,0.007757211832312084,0.0038786059161560415,0.01595334757847818,0.003920184373036894,0.001960092186518447,0.44688212871551514,0.16897220055704568,0.08448610027852285
train_mean_prior,Mean prior,ood_unseen_operator_noise,Noise/drift OOD,5,5,0.1387180089950561,0.0,0.0,0.2099162830506646,0.0,0.0,13.55907744419056,1.7763568394002505e-15,8.881784197001252e-16,0.0306947253411635,0.0,0.0,3.739305257797241,0.0,0.0,10.71926353714697,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
srcnn_bz_single_channel,SRCNN,ood_unseen_operator_noise,Noise/drift OOD,5,5,0.1103480070829391,0.0025097965794298764,0.0012548982897149382,0.19068860495619827,0.0005109414696354577,0.00025547073481772885,14.393536352240394,0.023275088904734818,0.011637544452367407,0.16805628426373,0.01297853533966724,0.006489267669833619,3.4012333869934084,0.03498335820529961,0.017491679102649805,10.219960726446757,0.05322638196823663,0.026613190984118316,0.37243582306985445,0.0031076802007042824,0.0015538401003521412,0.11034800112247463,0.0025097936564676872,0.0012548968282338434,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.18763264326849755,0.000680481223645241,0.0003402406118226205,0.08020394489191049,0.0011537945508209556,0.0005768972754104778,0.1372909545898437,0.002089345596336506,0.001044672798168253
unet_canonical_bxyz,U-Net,ood_unseen_operator_noise,Noise/drift OOD,5,5,0.07306052595376963,0.0020401938658717107,0.0010200969329358554,0.15068746430569058,0.002735871289698473,0.0013679356448492365,16.43989368187973,0.15808053063741231,0.07904026531870616,0.4053906327113509,0.0276924431554015,0.01384622157770075,2.642827033996582,0.05344447618608825,0.02672223809304412,8.149239988218175,0.13323260184132002,0.06661630092066001,0.5232614288294263,0.007371742187179101,0.00368587109358955,0.07306052744388576,0.002040195637790475,0.0010200978188952372,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.1493465128735572,0.002902727286878615,0.0014513636434393073,0.05825057424776806,0.0026898026016449065,0.0013449013008224532,0.10829620361328121,0.004051708758083211,0.0020258543790416055
vanilla_diffusion,Vanilla diffusion,ood_unseen_operator_noise,Noise/drift OOD,5,5,0.45452251434326174,0.01861434218298452,0.00930717109149226,0.46880068600536867,0.019459225363218507,0.009729612681609254,6.587660461280224,0.35846661269983177,0.17923330634991588,0.04344547911605327,0.0012113212543919652,0.0006056606271959825,12.812392425537109,0.9659728263698748,0.4829864131849374,14.146984572739267,0.774092830732365,0.3870464153661825,0.25459673273586325,0.03148381700513369,0.015741908502566848,,0.0,0.0,0.08877554088830944,0.004310906191622966,0.0021554530958114828,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_operator_noise,Noise/drift OOD,5,5,0.08783109337091441,0.013440252448621955,0.006720126224310977,0.15373439764409946,0.005093197243145242,0.0025465986215726204,16.269271102054674,0.2843795005284927,0.14218975026424632,0.20969427331583573,0.08507073923689021,0.042535369618445104,2.8134700775146486,0.1811954427637639,0.09059772138188195,8.209888934966568,0.2108640207107701,0.10543201035538505,0.5074526941940258,0.004930260307104943,0.0024651301535524714,0.05892748832702632,0.008685826110616223,0.004342913055308112,0.07813331633806223,0.011871062263075485,0.0059355311315377425,0.759738223505259,0.05077948870781101,0.025389744353905504,0.7750756358464287,0.02431121631342564,0.012155608156712818,0.0652166984031565,0.009720069038849012,0.004860034519424506,0.019446506397855102,0.0021851999481312693,0.0010925999740656344,0.42712717056274413,0.14115196976193153,0.07057598488096577
